	HCC1395_BREAST	TOV112D_OVARY	HUCCT1_BILIARY_TRACT	RKN_SOFT_TISSUE	LMSU_STOMACH	SNU245_BILIARY_TRACT	TYKNU_OVARY
8-BROMO-CGMP	0.349697976223	-0.901098806394	-0.117611558144	0.666145926317	0.166685333138	0.928957682107	-0.49253336192
NIFURTIMOX	-0.207361242129	-1.08849820732	-0.331518676324	-0.259140951859	-0.590583067815	0.432051387248	-0.143227687821
BALAGLITAZONE	0.109085332149	0.461292718553	0.0176829651356	-0.087051422811	0.0607072964131	0.421040168373	-0.848758990271
FLUTRIMAZOLE	-0.548911706831	-0.0439209825304	0.446032533781	0.127366769083	0.463277961264	0.759356069971	-0.299222067905
KBG	0.358992438095	-0.387045416738	-0.1252781132	0.0265003978845	-0.346328864248	-0.09692127863	0.369679246019
OTENZEPAD	-0.346862785032	0.15546757795	0.369144995745	-0.148384709478	0.28410608147	0.151400386115	0.0792201553765
BIPERIDEN	0.319868559363	0.114820264779	0.153984554111	0.537253859565	0.466971275975	0.883574732272	1.26090940818
ZALTOPROFEN	0.55630922917	-0.484273307026	-0.35598844367	-0.193488051209	-0.389210193121	-1.25212205493	-0.282280800718
NORETYNODREL	-1.55464814543	-1.01532087261	-1.13923575248	-0.563316042189		-1.34011727021	-0.462958185428
DYPHYLLINE	1.02225989994	0.284352692986	-0.23038959794	0.7998636744	0.325241986142	0.467055288476	-0.10106432683
ALPRENOLOL	0.491812089543	0.252551269211	0.0887416799143	-0.352757788063	0.0723536760931	-0.313152441272	0.327528837074
AZELNIDIPINE	-0.81002913849	-0.113907678969	-0.22909392874	0.476336151366	0.244292755434	0.0889597694869	0.0355543707541
HYDROXYPROPYL-BETA-CYCLODEXTRIN	-0.316589508482	-0.171748307825	0.363708175098	-0.531538785539	-0.0702751839928	0.446787554112	0.0962324196389
WB-4101	-0.215137589007	-0.102199858617	-0.121045066132	-0.576095815168	-0.596483178901	-0.333862679525	-0.568739618256
CLEVIPREX	0.113639939398	0.145088988219	-0.0687836525907	0.501953720158	-0.083868930229	0.668061840221	1.20765780998
CHLORMADINONE-ACETATE	-0.0354280042588	-0.953975455738	-0.469786169511	-0.286237292876	0.342253700775	-0.64752708789	0.200768984897
BUPIVACAINE	0.672853807635	-0.011181665988	-0.283122851109	0.630312604873	0.0161206196919	0.537220865932	0.571650844201
PREDNISOLONE-ACETATE	-0.108279512401	-2.02138750781	-0.541540086063	0.436848799625		0.755539922024	-1.61458405549
NAFTOPIDIL	0.163388850432	0.227262213893	-0.0265825856303	-0.216046505567	-0.240437053884	0.480643075776	-0.105144643024
FK-33-824	-0.00312650981285	-0.133059628457	-0.192247731349	0.173848366881	-0.0263438934226	0.418292107055	-0.375425430923
NITRENDIPINE	-0.131603254981	-0.411290667112	-0.403068535487	-0.323584903527	0.176352191872	0.386944623204	0.391070252421
BETAMETHASONE	0.443274135689	0.231319678499	-0.0817077673256	0.314229337771	0.441105963969	-0.0492485465448	1.39686219485
MEPTAZINOL	0.418694732903	-0.488583765796	-0.0660499057545	-0.521809496644	-1.10690333278	-0.39170855742	-0.259228864722
CILNIDIPINE	0.0356580829723	0.353668111112	-0.304930981519	0.251517746385	-0.0692479396998	0.0796412154095	-0.367078091973
BETAXOLOL	0.18481490221	0.455673214692	-0.193615789744	0.413678979653	0.477020330172	0.0158545252573	0.563801316076
LOFEXIDINE	-1.21301896501	-0.538106447671	-0.588348456287	-0.433654649571	-0.531938985197	-1.00854444261	-1.08986836408
ALIZAPRIDE	-0.29827963161	0.106574018823	-0.0777298531884	-0.0923253023952	-0.116274275068	0.651484870801	0.213090197818
MEPIVACAINE	-0.0755708537102	-0.0574809568037	-0.55685299652	0.194169403712	-0.46690667891	-0.717053595528	-2.00950240031
ICI-89406	-0.290617597432	0.117919509626	-0.132737259219	0.249878449005	0.586280727166	0.00314579003197	-0.12756955473
XL888	-2.13720324354	-4.71786883119	-5.49296031052	-2.79897718178	-4.44664149923	-2.7814789166	-3.76919134061
METOPROLOL	-0.338846350842	-0.752459016526	-1.10781095965	-0.567312909049	-1.74717287725	-0.984693880141	-0.502415369467
BISMUTH-SUBCITRATE-POTASSIUM	0.123732443488	-0.14501336551	0.0805319450212	-0.441595628489	0.699848335609	-0.121715269751	0.695951682895
METHSCOPOLAMINE	-0.362813578063	-1.48965490987	0.130432104847	-0.588694252334		0.367416869937	0.230106832974
PIRICAPIRON	0.00730446133168	0.60457244765	-0.0529279166378	-0.308571914961	-0.282717975495	-0.710395107485	0.580459575609
EPERISONE	0.199073310714	0.593572656064	-0.0275562500492	0.392431796846	-0.470771190885	-0.0837266990563	0.337721832707
ISOPRENALINE	0.158979561679	-0.225762769821	0.113966277109	-0.515979045037	0.222393513496	0.68023103864	0.502381449333
SYNEPHRINE	-0.558478653809	0.335822940622	0.166595962511	0.531327451633	-0.0446059358605	-1.3139229906	0.165494877114
SYNEPHRINE	0.0807327841596	0.221283972729	0.100130188552	0.143539029611		0.277025491333	0.459976542313
