	HCC1395_BREAST	TOV112D_OVARY	HUCCT1_BILIARY_TRACT	RKN_SOFT_TISSUE	LMSU_STOMACH	SNU245_BILIARY_TRACT	TYKNU_OVARY
TSPAN6	10.17	20.81	25.340000000000003	7.629999999999999	8.22	35.09000000000001	4.31
TNMD	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DPM1	133.43000000000004	36.19	149.22	170.84000000000003	51.34	66.52	93.79
SCYL3	4.070000000000001	4.31	1.5099999999999998	3.3600000000000003	3.46	5.760000000000002	3.3600000000000003
C1orf112	11.810000000000002	15.550000000000004	19.280000000000005	12.570000000000004	21.049999999999994	9.43	14.26
FGR	0.1299999999999999	0.0	0.04	0.0	0.02	0.04	0.01
CFH	9.710000000000004	0.26	1.12	0.6000000000000001	10.93	0.07	0.1100000000000001
FUCA2	56.87999999999999	5.4	42.29	52.88000000000002	89.94999999999999	40.85999999999999	40.52
GCLC	61.96	17.470000000000002	12.29	7.730000000000004	20.079999999999995	124.24999999999996	10.72
NFYA	33.59000000000001	30.15	4.4799999999999995	15.419999999999998	20.99000000000001	13.510000000000002	19.979999999999997
STPG1	9.78	3.0999999999999996	6.049999999999999	8.85	18.339999999999996	2.22	10.25
NIPAL3	12.679999999999998	3.380000000000001	11.55	10.009999999999998	49.77	8.09	13.490000000000004
LAS1L	38.09999999999999	97.43	18.97000000000001	32.66	68.12	77.33999999999999	75.66000000000001
ENPP4	0.76	5.960000000000002	2.63	3.709999999999999	0.1100000000000001	1.44	0.02
SEMA3F	9.239999999999998	6.47	0.1299999999999999	63.53	0.1200000000000001	2.22	0.6099999999999999
CFTR	0.06	0.08	1.04	0.05	0.1100000000000001	16.379999999999995	0.05
ANKIB1	25.97000000000001	17.05	25.069999999999993	19.82	14.98	15.219999999999995	19.690000000000005
CYP51A1	63.65000000000002	24.09999999999999	113.70999999999998	23.61	30.059999999999995	90.82	40.18000000000001
KRIT1	39.41000000000001	23.749999999999996	8.98	25.440000000000005	20.010000000000005	28.94	37.8
