gene_name	HCC1395_BREAST	TOV112D_OVARY	HUCCT1_BILIARY_TRACT	RKN_SOFT_TISSUE	LMSU_STOMACH	SNU245_BILIARY_TRACT	TYKNU_OVARY
GTF3A	91.41	92.52	95.09	98.09	95.65	98.99	97.37
FAM217B	12.77	3.03	0.0	6.12		0.0	7.87
KANK1	0.0			0.0	0.0	0.75	0.0
PIP4K2B	98.48	98.18		98.75	97.75	97.78	98.35
ACD	97.44	100.0		98.18	97.72	98.08	98.13
CCDC51	37.31	38.18		47.73	28.57	38.68	35.94
TM2D2	100.0	100.0	100.0	100.0	100.0	100.0	100.0
CAPZA1	100.0	100.0	100.0	99.65	100.0	100.0	100.0
COPS7A	87.77	84.34	100.0	78.61	82.96	96.95	81.99
RPS6KA1	0.0	0.0		0.0	0.0	0.0	0.0
RBM28	0.0	0.0		0.0	0.0	0.0	0.0
EMR1	100.0	100.0		100.0	100.0	94.51	100.0
INO80E	35.58	48.33	72.0	38.1	54.1	83.78	32.35
C11orf82	84.0	70.97		63.64	70.97	100.0	68.89
ANKRD11	6.18	2.52		2.67	3.62	5.71	3.39
KMT2C	21.57	13.89		21.95	29.17	13.04	14.75
NLRX1	0.0	0.0		0.0	0.0	0.0	0.0
FOXN2	7.14	8.33		5.0	9.09	14.29	6.82
ERCC8	0.0	0.0	8.82	3.7	0.0	5.41	3.61
AD000090.2	85.42	100.0		100.0	100.0	100.0	78.26
FAHD2A	94.44	100.0	100.0	93.24	100.0	100.0	100.0
AMZ2P1	100.0	80.26	100.0	78.26	100.0	71.05	100.0
NCKAP5L	0.0	0.0		0.0	0.0		0.0
PER1	0.0	0.0		0.0	3.85		
SRD5A3	97.22	94.44	94.56	96.67	93.75	95.1	86.82
C17orf85	100.0	97.56		100.0	98.4	93.42	98.18
SF3A3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP8B2	1.38	0.57		1.15	1.32		2.33
MTRR	0.0	1.92		0.0	0.0	0.0	0.0
TNFRSF1A	51.69	100.0		100.0	100.0	100.0	83.97
GMIP	77.78	82.61		86.96		89.47	86.67
EEF1E1	10.44	7.35	0.84	5.83	10.0	20.23	5.57
OCEL1	0.0	0.0		0.0		0.0	0.0
UVRAG	0.0	0.0		0.0	0.0	0.0	0.0
AAR2	8.64	6.49		4.39	8.57	13.89	6.73
ARMC7	6.06	6.06	0.0	0.0	5.26	7.14	0.0
SVIL	10.0			54.29	9.09	26.09	35.9
INTS6	0.0	0.0		0.0	0.0	0.0	0.0
GLTSCR2	1.33	0.49	0.0	0.0	0.0	0.17	0.45
MLLT6	5.0	0.87		1.89	0.0	1.81	3.57
ARMC7	13.95	16.67	100.0	32.65	35.0	34.55	41.18
PPOX	100.0	75.0		94.59	100.0		100.0
SECISBP2	96.72	100.0	100.0	98.4	100.0	96.19	100.0
TSEN2		0.0		0.0	0.0	7.41	0.0
EWSR1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DNA2	3.57	3.3		0.0	1.08	0.0	3.64
AGTPBP1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
UQCR10	77.39	83.75	80.88	83.33	81.72	89.04	82.26
ELMOD3	0.0	0.0		0.0	0.0	0.0	6.67
RBM14	2.21	0.0	0.0	2.76	0.0	1.53	1.01
CD3EAP	100.0	100.0		100.0	100.0	100.0	100.0
