	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
8-BROMO-CGMP	0.140865992236	-0.0155766399108	0.206401792809	0.606384767088	-0.0204263216598	-0.00369925948092	-0.205679372978	-0.532886534526	0.353009728548
NIFURTIMOX	-0.163702163704	-0.449332058609	-0.102359793807	-0.900294669073	-0.143500362712	-0.833935286482	-0.423474651973	-0.719702337782	0.0388718676738
BALAGLITAZONE	0.999650275855	0.489378839833	-0.308743927288	0.179091735718	0.0281381529847	-0.25856662938	-0.151199490285	-0.637998438044	0.38988409982
FLUTRIMAZOLE	0.4127559571	0.206674695753	-0.161422882526		0.201087432096	0.182821229292	0.144645699337	0.721233216499	-0.112096156677
KBG	-0.522135297537	0.272730076441	0.0368618989208		-0.446506990555	-0.218525383632	-0.185363927491	-0.547484743038	0.209897630952
OTENZEPAD	-0.117626040303	0.0210361092512	0.424787459596	0.258344411737	0.150762906267	0.287315219373	0.116837099017	0.143976236245	0.531488132812
BIPERIDEN	0.62426282075	-0.025460432655	0.443897585677	1.25380118034	-0.0294646530693	0.533171082977	-0.114239498688	-0.104105449145	-0.102718487589
ZALTOPROFEN	0.101585453343	0.467158147072	-1.02344196154	-1.45986328977	-0.348887645989	-0.470844387191	0.143526575117	-0.42061285985	-0.281098685943
NORETYNODREL	-1.21815762841	-0.73630578126	-0.617747429786	0.487677217016	-1.07305819366	-0.660970675437	-2.22977932801	-1.20594072019	-0.713578462045
DYPHYLLINE	0.542213611142	0.644137186008	-0.196013104117	-0.307280752883	-0.276114904386	-0.29007983543	0.297394805484	0.0723543922275	0.202886207775
ALPRENOLOL	0.450946551653	-0.371125944944	0.305503049334	1.17705716388	0.0181590706806	0.160692699811	0.286763485574	0.0128265342652	0.500030608124
AZELNIDIPINE	-0.2996769318	0.42509838802	0.45666429108	0.04770879531	-0.122055803882	0.155753337768	0.149229872411	0.100974353674	0.0291667404284
HYDROXYPROPYL-BETA-CYCLODEXTRIN	-0.761803421598		0.609792042059	0.607604186374	-0.219587358041	0.433758486938	-0.291594795354	0.0851668579225	0.727000837729
WB-4101	-0.171824609595	0.287025635642	0.106369082459	-1.32173463658	-0.416722254484	-0.192211603387	-0.238353818534	-0.308966711951	-0.41066092031
CLEVIPREX	0.25198976249	0.410468984069	-0.00924367036591	1.43783212956	0.380260022846	0.151943726543	-0.186267877425	0.28357045672	-0.339132680441
CHLORMADINONE-ACETATE	0.20808594637	0.404993506138	-0.697028966773	0.239526700254	-0.26685614952	0.290530512271	0.308126215985	-0.309921336465	0.538091974008
BUPIVACAINE	0.365011214536	0.702346856708	0.173681057635	0.574736381592	0.297979811307	-0.345129970201	0.333361557984	-0.326974651774	0.27842472703
PREDNISOLONE-ACETATE	0.445100396458	-0.648735026406	-1.06321795359	0.103389354938	-0.160090352327	-0.600647318413	-0.218767145425	-0.0400771528	-0.29401084401
NAFTOPIDIL	-0.446112488643	0.537156770282	-0.384269691392		-0.475813674678	-0.138457472284	0.510888088433	-0.0966483407102	0.34344786361
FK-33-824	-0.189218352682	-0.0519229460531	0.353151408792	-0.0893026441526	-0.176920140265	-0.023769239304	0.0949280797683	0.0517307450011	-0.464586575495
NITRENDIPINE	-0.246136364581	-0.463111440408	0.273433273648	0.762185832166	-0.167118476447	0.114765747402	-0.576623481507	0.559271380597	-0.435737324596
BETAMETHASONE	0.614976640703	0.213470859929	0.631275713177	1.03778902889	0.260480163722	0.192172186819	0.515787592145	-0.398922994743	1.26958462686
MEPTAZINOL	-0.375015403849	0.513649078931	-0.826036957963		-0.787387308828	-0.935453126579	-0.0445399695193	-0.354919874989	0.106761949846
