	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
TSPAN6	9.239999999999998	35.339999999999996	28.19	13.66	24.949999999999992	36.120000000000026	19.089999999999996	11.23	29.219999999999988
TNMD	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.04
DPM1	53.69999999999999	179.72	148.41999999999993	76.32	82.22999999999999	79.35000000000001	132.36	51.76000000000001	198.36
SCYL3	4.62	3.3100000000000005	4.059999999999999	4.57	3.070000000000001	7.990000000000002	2.7099999999999995	3.0200000000000005	2.770000000000001
C1orf112	13.629999999999992	17.6	17.169999999999998	16.210000000000004	11.639999999999992	24.19	10.55	4.18	10.849999999999998
FGR	0.1	0.03	0.1799999999999999	0.02	0.02	0.03	0.0	0.1699999999999999	0.02
CFH	16.119999999999997	0.8700000000000001	14.140000000000002	9.15	1.29	0.3500000000000001	13.709999999999994	53.69	3.160000000000001
FUCA2	22.39	51.78999999999999	37.25000000000001	62.31000000000001	39.86000000000001	94.29	85.41999999999999	49.060000000000045	42.87
GCLC	20.270000000000007	24.579999999999995	46.05	13.670000000000002	88.55000000000003	34.28000000000001	24.979999999999997	23.39000000000002	17.380000000000003
NFYA	11.070000000000002	12.18	17.270000000000003	16.429999999999996	17.330000000000002	33.65000000000002	29.13000000000001	14.030000000000005	9.489999999999998
STPG1	3.46	4.240000000000001	7.93	2.770000000000001	4.730000000000001	6.63	4.349999999999999	3.9700000000000006	3.0600000000000014
NIPAL3	8.829999999999998	7.410000000000002	29.840000000000003	12.89	13.68	7.579999999999998	8.39	13.4	6.210000000000001
LAS1L	28.700000000000006	47.78999999999999	43.150000000000006	37.29999999999999	45.79	73.11999999999998	83.96999999999998	35.77000000000002	56.15
ENPP4	4.099999999999999	6.17	1.66	10.089999999999998	3.33	8.92	7.360000000000001	12.64	3.4000000000000004
SEMA3F	6.619999999999999	16.299999999999997	26.319999999999997	24.030000000000022	16.149999999999995	6.720000000000001	3.3100000000000005	39.390000000000015	28.619999999999997
CFTR	0.0	0.5899999999999999	0.01	0.01	0.05	0.02	0.04	0.07	0.5
ANKIB1	19.749999999999996	21.01	21.770000000000007	23.68	26.210000000000008	9.16	21.03	28.61	16.41
CYP51A1	8.59	37.32000000000002	35.36	60.17999999999999	53.14000000000001	36.279999999999994	46.490000000000016	77.64000000000001	60.43
KRIT1	21.4	24.270000000000007	34.220000000000006	29.15	31.57999999999999	9.920000000000002	22.489999999999995	20.22	19.340000000000003
RAD52	14.010000000000002	6.349999999999999	9.43	8.460000000000003	8.690000000000001	22.090000000000018	17.670000000000005	5.31	5.31
BAD	27.549999999999994	66.61999999999999	104.83	50.33000000000001	65.85000000000001	30.729999999999993	85.52	94.81999999999996	75.39999999999999
LAP3	35.71999999999999	58.01000000000001	80.08000000000003	38.30000000000001	43.47	67.36000000000001	79.42999999999999	203.44000000000003	48.80000000000001
CD99	11.670000000000002	27.060000000000016	271.3999999999999	99.58	158.98000000000002	21.67	69.06	332.4400000000001	37.13
HS3ST1	10.679999999999998	0.09	11.709999999999994	0.8	6.269999999999999	1.5700000000000005	0.01	0.9799999999999998	0.01
AOC1	2.83	0.07	0.06	34.59	4.42	0.04	0.02	0.1200000000000001	0.06
WNT16	0.4099999999999999	0.02	0.3999999999999999	0.01	0.32	0.33	0.01	0.06	0.03
HECW1	0.03	0.29	0.0	0.6499999999999999	0.3900000000000001	1.46	1.7000000000000006	0.1400000000000001	0.26
MAD1L1	9.259999999999998	14.490000000000002	14.4	15.64	20.92	17.540000000000003	27.480000000000004	12.31	15.86
LASP1	136.44999999999996	107.82	185.38	377.6399999999998	182.53999999999996	90.88000000000002	64.44	183.80999999999997	106.62
SNX11	12.199999999999983	19.519999999999996	12.81	14.340000000000002	9.45	15.240000000000006	13.91	16.339999999999996	17.310000000000002
TMEM176A	0.04	0.1	0.0	0.1200000000000001	0.05	0.29	0.0	0.02	0.55
M6PR	91.59	124.24	101.15000000000003	122.02	139.36999999999998	98.89999999999998	153.65999999999994	129.64	82.22000000000001
