gene_name	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
GTF3A	97.23	92.26	97.62	96.77	97.93	95.38	94.04	93.65	94.41
FAM217B	6.06	0.0	6.41	6.94	0.0	0.0	6.67	0.0	3.37
KANK1	0.0	0.0	0.41	0.79	0.0	0.0	0.0	0.0	0.0
PIP4K2B	98.31	96.83	99.08	97.69	97.6	96.1	98.01	98.81	96.83
ACD	100.0	100.0	97.0	98.14	98.66	100.0	98.36	97.87	96.74
CCDC51	31.25	45.45	44.74	31.25	29.55	37.21	31.3	55.56	41.59
TM2D2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
CAPZA1	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.73	100.0
COPS7A	93.19	91.03	94.25	91.03	94.19	90.32	92.26	91.59	89.32
RPS6KA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RBM28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EMR1	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
INO80E	52.08	66.67	62.5	70.21	58.73	89.47	46.15	79.49	86.89
C11orf82	53.57	100.0	55.56	78.46	85.0	100.0	81.13		93.1
ANKRD11	4.91	6.45	5.26	10.33	3.05	3.6	3.66	4.67	2.46
KMT2C	19.23	33.33	15.62	26.53	24.0	0.0	24.14	18.92	17.5
NLRX1	0.0			0.0	0.0	0.0	0.0	2.86	
FOXN2	13.64			13.51	10.0	14.81	13.33	10.0	13.33
ERCC8	3.64	0.0	0.0	0.0	0.0	2.38	0.0	2.7	4.17
AD000090.2	100.0	100.0	100.0	100.0	68.42	100.0	85.19		100.0
FAHD2A	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
AMZ2P1	89.74	100.0	100.0	45.0	86.96		87.5	73.33	76.32
NCKAP5L	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11
PER1	0.0			4.55	3.57	0.0	8.33		0.0
SRD5A3	91.61	100.0	88.54	93.57	94.44	89.94	92.73	87.1	86.54
