	NCIH1793_LUNG	MDAMB468_BREAST	SNU601_STOMACH	FTC133_THYROID	SKMEL30_SKIN	SUIT2_PANCREAS	PANC1_PANCREAS	NCIH1975_LUNG	FTC238_THYROID	OC314_OVARY
8-BROMO-CGMP	-0.277066704645	0.673549651404	-0.558452202053	0.767837983542	0.551279535321	0.194145313405	0.38939961441	-0.438695017637	-0.245636097447	0.345804241564
NIFURTIMOX	0.275287804429	-0.886529648852	-0.0265596948932	-0.468603348123	-0.316456489238	-0.344527723875	0.194154779508	-0.419326601646	-0.592880040662	-0.205570258986
BALAGLITAZONE	-0.0714615223848	-0.255728839246	0.0770962025362	0.815916817414	0.139187260977	-0.390801945547	-0.440624872646	0.0606235304043	0.574230388624	0.195529603288
FLUTRIMAZOLE	0.430161348447	0.0361383479052	-0.042030769417	0.597011322203	0.210828170567	0.166004888285	0.113914994892	-0.109491188222	0.804071187116	0.246766329591
KBG	0.217495022979	-0.349732890617	-0.731830641651	0.0611669814326	-0.0215474724992	-0.566234243738	-0.385546787923	-0.136280288479	-0.0898300784713	-0.53082561704
OTENZEPAD	0.339425605584	0.586348404718	0.471774333599	0.331959983777	0.247482887751	-0.200918867713	0.249051846047	0.282076091753	0.179964455829	0.354200419774
BIPERIDEN	0.259643477165	0.279673440272	-0.0702112309595	0.102374071743	0.166672694208	-0.284129987225	0.303325946488	-0.000757400748544	0.162199535595	0.42941766092
ZALTOPROFEN	-0.258522512305	-1.27118745749	-0.294968451206	-0.258827819131	-0.670779091714	-0.905015361597	-0.864738633893	-0.547704586531	0.828188984344	-0.352301130422
NORETYNODREL	-0.704990448101	-1.21415158135	-0.74299527349	-0.536527944501	-1.64594344251		-0.349129590095	-0.693461543031	0.147457456773	-1.60812655982
DYPHYLLINE	0.107551179582	0.393879712704	0.15442686382	0.0787633731023	0.166102726769	0.0567660692792	0.0491483573356	-0.0771242476434	-0.26754801136	0.237819061021
ALPRENOLOL	0.385836009758	0.144702281143	-0.394050616047	0.747466793512	0.393174259355	-0.218551586261	0.501939168416	0.0806950798777	0.881641345655	0.231817661055
AZELNIDIPINE	0.192016854058	0.246534667206	0.0913642107401	-0.29213868605	0.0646977470542	-0.27150385442	0.0931575283797	-0.0438523678004	-1.11094831289	-0.104352352139
HYDROXYPROPYL-BETA-CYCLODEXTRIN	0.350941676195	0.115774175434	-0.121720305638	-0.453772340754	-0.114389973361	0.23115287401	-0.431272204659	-0.28982986669	0.587540605193	0.380629213874
WB-4101	0.332983088882	0.182552307616	-1.06482681147	-0.528942246782	0.109469384828	-0.374777941863	-0.0898077207351	-0.466343151597	0.340864259586	-0.445341708893
CLEVIPREX	0.37950743951	0.125977913101	0.160628240944	0.656442742157	0.342482460685	0.435900041829	0.258258825997	0.0375355966617	0.297607914895	-0.19035428883
CHLORMADINONE-ACETATE	-0.233877572962	-0.201948856884	-0.0465606806971	-0.361617574075	-0.427276538	-0.266652947466	-0.405414952203		0.287450678346	-0.287519340738
BUPIVACAINE	-0.0190352584502	0.192744868532	0.463452227692	0.177986956382	-0.277204719319	-0.139944783803	0.345704951346	0.250231687249	1.58438300677	-0.28507282817
PREDNISOLONE-ACETATE	0.681580442178	-0.214194811727	-2.29653563856	0.0351033005868	0.00450212055294		0.510864100712	-2.42318124309	-0.148379130921	-1.09054009842
NAFTOPIDIL	0.384210184127	-0.285234206895	0.201240298789	0.0206737967796	0.629010460067	0.128514837497	0.235121980273	-0.290018278496	0.855137994888	-0.394781699682
FK-33-824	-0.30166942658	-0.087234749385	0.197717093885	-0.380040147333	-0.321343053241	-0.0342931317942	0.00288385582783	-0.00956428050564	0.0774360219542	-0.134494242108
NITRENDIPINE	0.252733223759	0.0144947063215	0.101566267301	-0.630989054186	-0.0749708088133	-0.643948221004	-0.0145543654048	-0.131269419437	-0.133369462379	0.0784251602119
