	NCIH1793_LUNG	MDAMB468_BREAST	SNU601_STOMACH	FTC133_THYROID	SKMEL30_SKIN	SUIT2_PANCREAS	PANC1_PANCREAS	NCIH1975_LUNG	FTC238_THYROID	OC314_OVARY
TSPAN6	10.830000000000004	32.190000000000005	8.15	11.280000000000005	9.199999999999998	12.31	2.7	18.81	18.019999999999996	22.28000000000002
TNMD	0.0	0.1299999999999999	0.0	0.2199999999999999	0.0	0.0	0.0	0.0	0.0	0.0
DPM1	134.43000000000004	123.62999999999997	109.14	63.52000000000001	82.90000000000002	131.51000000000002	75.22	77.01	141.63999999999996	104.08
SCYL3	2.72	7.960000000000003	3.12	1.88	4.260000000000001	3.33	4.070000000000001	3.1899999999999986	2.42	2.8200000000000003
C1orf112	8.92	24.88000000000001	12.61	10.55	21.2	11.93	10.749999999999998	8.89	15.36	12.64
FGR	0.0	0.1799999999999999	0.02	0.06	0.02	0.05	0.0	0.01	0.02	0.01
CFH	2.52	0.9799999999999998	0.8700000000000001	11.329999999999998	0.1699999999999999	0.1999999999999999	0.07	1.0499999999999998	2.3300000000000005	0.6699999999999999
FUCA2	58.25	46.89000000000001	220.61	124.34000000000006	64.45999999999998	65.11999999999999	62.99	75.22999999999999	173.64	59.04999999999998
GCLC	101.12	37.53999999999999	41.89000000000001	14.150000000000004	17.77	51.139999999999986	27.420000000000005	17.989999999999995	18.019999999999996	19.57
NFYA	8.950000000000001	14.349999999999998	30.38	11.709999999999994	23.659999999999997	18.149999999999995	17.420000000000005	21.570000000000014	31.710000000000008	9.53
STPG1	4.349999999999999	7.550000000000003	4.540000000000002	8.25	9.04	3.65	4.099999999999999	3.979999999999998	11.47	5.429999999999999
NIPAL3	8.2	15.66	15.380000000000004	14.090000000000003	11.880000000000004	6.460000000000001	5.0600000000000005	10.37	38.930000000000014	11.35
LAS1L	53.58	49.03	42.239999999999995	66.05	43.85000000000001	37.23	66.52	76.32	96.96	51.24999999999999
ENPP4	4.470000000000001	12.11	6.8100000000000005	0.53	0.04	6.379999999999999	2.11	0.52	3.12	6.010000000000001
SEMA3F	0.3799999999999999	43.23	21.27	102.97000000000008	0.1899999999999999	2.1499999999999995	33.32999999999999	7.539999999999999	17.26	18.21
CFTR	0.1899999999999999	0.07	4.98	0.1299999999999999	0.06	124.61	0.0	0.04	0.27	0.8
ANKIB1	24.050000000000004	17.05	16.429999999999996	37.53999999999999	11.859999999999998	21.230000000000004	26.430000000000007	32.21	26.15	20.149999999999995
CYP51A1	60.98999999999999	37.380000000000024	85.53	47.849999999999994	143.81999999999996	39.34999999999999	58.44000000000001	51.93000000000001	34.449999999999996	109.36
KRIT1	29.290000000000006	16.870000000000005	20.409999999999997	29.920000000000005	23.589999999999996	15.079999999999998	25.720000000000017	30.75999999999999	28.97000000000001	36.260000000000005
RAD52	7.820000000000002	5.239999999999999	7.730000000000004	4.4799999999999995	8.75	8.98	5.690000000000001	7.75	9.76	14.569999999999997
BAD	54.629999999999995	76.62	85.27000000000001	75.62999999999998	72.25000000000003	53.760000000000005	67.28	44.77000000000002	76.74999999999999	44.099999999999994
LAP3	34.42	55.95	46.84	56.47000000000001	96.39	72.11	74.38000000000001	42.239999999999995	79.85999999999999	32.17000000000001
