gene_name	NCIH1793_LUNG	MDAMB468_BREAST	SNU601_STOMACH	FTC133_THYROID	SKMEL30_SKIN	SUIT2_PANCREAS	PANC1_PANCREAS	NCIH1975_LUNG	FTC238_THYROID	OC314_OVARY
GTF3A	95.93	89.13	94.91	95.64	96.14	100.0	96.38	97.42	93.25	97.71
FAM217B	5.49	0.0	7.69	0.0	8.2	0.0	5.95	0.0	4.65	0.0
KANK1	0.0	1.64	0.0	0.0	0.99		0.0		0.0	1.64
PIP4K2B	99.21	97.96	97.78	100.0	98.12	97.87	100.0	99.28	98.06	97.1
ACD	100.0	96.81	100.0	96.17	99.1	100.0	97.5	97.91	94.76	100.0
CCDC51	36.14	35.0	30.56	28.12	39.0		31.43	27.96	34.78	36.0
TM2D2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
CAPZA1	100.0	99.7	99.81	100.0	100.0	100.0	100.0	100.0	100.0	100.0
COPS7A	85.0	83.46	80.63	92.43	95.61	85.16	87.32	89.74	89.02	93.53
RPS6KA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RBM28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EMR1	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
INO80E	34.88	42.0	72.55	37.5	63.38	100.0	64.71	37.78	14.81	57.14
C11orf82	70.59	72.22	87.1	57.14	61.11	100.0	90.79	82.0	94.59	75.0
ANKRD11	5.23	2.41	2.84	1.75	3.09	0.0	3.81	3.23	4.05	
KMT2C	17.95	14.81	17.39	26.09	14.81	0.0	9.52	17.95	13.33	39.13
NLRX1	0.0	0.0	0.0	0.0	0.0		0.0	0.0		2.0
FOXN2	13.33		15.38		11.11	8.33	7.41	7.69		23.81
ERCC8	0.0	0.0	2.94	5.0	8.0	0.0	2.27	3.64	7.69	0.0
AD000090.2	86.67	83.33	78.57		80.95		85.71	100.0		100.0
FAHD2A	100.0	100.0	100.0	100.0	98.74	100.0	100.0	100.0	100.0	100.0
AMZ2P1	81.82	100.0	86.05	100.0	74.14		89.29	75.76	100.0	83.33
NCKAP5L	0.0	0.0	0.0	0.0	1.67	0.0	0.0	0.0	0.0	0.0
PER1	0.0		0.0		5.26		0.0	0.0	0.0	
SRD5A3	91.19	85.42	83.54	87.32	91.92	100.0	88.29	90.97	89.66	96.52
C17orf85	97.7	95.92	97.14	97.3	100.0	100.0	100.0	95.96	95.35	100.0
SF3A3	0.0	0.17	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0
ATP8B2	1.5			0.95	1.02		0.0	0.0	1.17	0.0
MTRR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.0	0.0
TNFRSF1A	100.0	100.0	100.0	87.82	100.0	100.0	67.07	75.44	76.92	89.9
GMIP	79.25	64.29	84.21	85.71	75.0		82.61	86.21	78.95	80.0
EEF1E1	7.25	6.51	6.56	1.57	4.68	4.79	6.12	6.28	10.2	13.08
OCEL1	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0
UVRAG	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0
AAR2	8.72	7.14	7.83	2.6	6.14	3.85	8.41	6.15	7.76	13.33
ARMC7	5.0	0.0	0.0	0.0	0.0	0.0	4.88	0.0	0.0	3.57
SVIL	33.33		0.0	50.0	0.0		40.48	36.84	25.0	
INTS6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13
GLTSCR2	0.52	0.0	0.8	0.0	1.11	0.0	2.11	0.93	2.54	0.25
MLLT6	0.0	0.0	2.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARMC7	38.6	24.39	32.05	31.91	34.88	14.29	34.12	20.0	36.36	30.0
PPOX	66.67	100.0	100.0	100.0	83.33		100.0	90.0	87.5	100.0
SECISBP2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
TSEN2	0.0		0.0	0.0	0.0		3.7	0.0	0.0	5.26
