feature,delta_value,p_value,corrected_p_value
MDM2_45563,-38.965,2.7294412819320494e-06,0.18153377494065964
MDM2_42308,38.964999999999996,2.7294412819320494e-06,0.18153377494065964
MDM2_82727,-25.23,8.186220465769426e-06,0.3570774760706281
MDM2_64546,25.230000000000004,1.0737638264326995e-05,0.3570774760706281
NUP50_75284,-100.0,0.09879185790258499,1.0
GNB2L1_113212,-69.255,0.07782461385660322,1.0
EIF4A1_64615,-64.16499999999999,0.37683072062894807,1.0
C14orf159_102850,-60.56,0.11187575624424488,1.0
PSMA7_49488,-58.974999999999994,0.02747631820710236,1.0
NEK3_10785,-53.349999999999994,0.08795413503199696,1.0
PKD1P5_82997,-51.00500000000001,0.024222614563891735,1.0
AC002116.7_2989,-50.83,0.02273475237591295,1.0
RGS3_66209,-50.709999999999994,0.03577143934947111,1.0
DRAM2_97306,-46.519999999999996,0.03518760078990685,1.0
C8orf59_100752,-45.31,0.21911991846499412,1.0
SESN1_122497,-42.34,0.0002501830740571852,1.0
SLC3A2_81572,-39.32,0.27102086810788006,1.0
CDK7_90417,-39.02,0.07555492818505448,1.0
LYST_76242,-38.71,0.09280747368060235,1.0
KLC3_28864,-35.599999999999994,0.06776820306917358,1.0
KLC3_59962,-35.525000000000006,0.042025883093420126,1.0
C8orf59_53849,-34.13999999999999,0.3922333871486452,1.0
MAGOHB_97576,-33.33,0.23028134470700967,1.0
LPAR2_97754,-32.58,0.014242083597363887,1.0
TYMS_81301,-32.5,0.10811316750396605,1.0
ZNF862_100727,-31.58,0.00012182208383313503,1.0
TTLL3_53623,-30.620000000000005,0.002569735669779541,1.0
EXOC7_12688,-30.015,0.04365638173963138,1.0
ZC3H11A_50439,-30.0,0.0012522318349701745,1.0
MDM4_52155,-29.025,0.06207312595872282,1.0
MDM4_48718,-28.884999999999998,0.0513599778700819,1.0
SFXN5_127223,-28.02499999999999,0.005971269289163885,1.0
BCL2L2-PABPN1_12039,-28.0,0.09380713524382647,1.0
METTL3_33310,-27.89,0.07339258097004904,1.0
CPSF3L_120104,-27.78,0.005336802582327764,1.0
PHYKPL_72502,-27.57,0.09839257747573735,1.0
NEK3_105969,-27.53,0.1471783608298293,1.0
SLC25A16_84407,-26.67,0.018010727524693283,1.0
NSUN5P1_55820,-26.315000000000005,0.027575016331122904,1.0
RP4-717I23.3_121126,-25.97999999999999,0.10018663593092851,1.0
TSPAN4_38270,-25.885000000000012,0.026417267563093497,1.0
TBC1D31_73355,-25.824999999999996,0.33087315044268273,1.0
PSMA7_9204,-25.730000000000004,0.4344999203099449,1.0
DDX42_49714,-25.159999999999997,0.00037873735311244686,1.0
TSR1_626,-25.134999999999998,0.000567669949759132,1.0
WBSCR22_114620,-25.070000000000004,0.09921371844528933,1.0
RP11-315D16.2_39939,-25.0,0.39120322086369475,1.0
APBB3_101024,-25.0,0.03253103549236671,1.0
ACAD9_33798,-24.875,0.006471291580840475,1.0
AC002116.7_58485,-24.814999999999998,0.18416456752767552,1.0
TRIM26_48659,-24.52,0.003956068040461018,1.0
MRRF_57998,-24.400000000000006,0.1354389790301715,1.0
NSUN5P1_37620,-24.33,0.0071376422210879175,1.0
NSUN5P1_26705,-24.1,0.014887955796732735,1.0
EEF1D_52032,-24.060000000000002,0.001689304681309587,1.0
CPSF7_11773,-24.015,0.0848800475001667,1.0
BANP_7116,-23.904999999999994,0.09450094409699518,1.0
RBM5_83280,-23.810000000000002,0.011986142090216145,1.0
ELMO3_67680,-23.67,0.20145143267252763,1.0
BANP_83099,-23.599999999999987,0.09450094409699518,1.0
PIEZO1_120257,-23.590000000000003,0.0014579775663413586,1.0
C8orf59_26579,-23.53,0.2781352611965028,1.0
UHRF1BP1L_54344,-23.53,0.6010619878142449,1.0
CIRBP_32502,-23.369999999999997,0.0004453616183908844,1.0
TCP1_121223,-23.335000000000008,0.17278810120684085,1.0
ITPA_63652,-23.330000000000002,0.3873639063573475,1.0
GNAS_118659,-23.29,0.05194235343835393,1.0
RPGRIP1L_99454,-23.090000000000003,0.16826434155460657,1.0
IGFLR1_77014,-23.08,0.03118008895089096,1.0
SNED1_92363,-23.08,0.6172892214582786,1.0
CCDC24_103383,-22.965000000000003,0.0018185292576888559,1.0
WDR45_1357,-22.789999999999992,0.0012812808790398432,1.0
DIDO1_4059,-22.78,0.7765711177267853,1.0
PLD3_76886,-22.730000000000004,0.006893084663017932,1.0
LINC00680_93277,-22.65,0.013696263067528155,1.0
GOLGA8B_94547,-22.630000000000003,0.01871744369281828,1.0
YIPF4_111634,-22.560000000000002,0.01761178079096813,1.0
MYO18A_8198,-22.50500000000001,0.15467066014446332,1.0
DYRK4_54252,-22.5,0.024701156569523274,1.0
RAP1GAP2_52830,-22.485,0.4148544856479186,1.0
SLC25A16_69987,-22.440000000000005,0.01850651490437242,1.0
WDR20_29923,-22.235,0.017507843619012673,1.0
CIRBP_14704,-22.22,0.10740463633025366,1.0
