feature,delta_value,p_value,corrected_p_value
AMG-232,2.2509074567589997,8.673520348674119e-05,0.5496409844954789
MILADEMETAN,3.1439457800239694,0.00020880775124260177,0.6616073598121838
OMECAMTIV-MECARBIL,-0.8857388555219999,0.0027398611302718555,0.7428666955740233
DACARBAZINE,-0.8397074888645001,0.0014314471279833233,0.7428666955740233
IBUDILAST,-0.56799335194,0.002591821545924577,0.7428666955740233
DEXTROSE,-0.5111984364105,0.0005154624272625933,0.7428666955740233
LETEPRINIM,-0.5096053883,0.0028134449572000254,0.7428666955740233
BRIVANIB,-0.46941529802790993,0.0026359680259926328,0.7428666955740233
PRASTERONE-ACETATE,-0.41830941790375,0.000799351639620685,0.7428666955740233
LICARBAZEPINE,-0.35746016142000003,0.002220911320359352,0.7428666955740233
TIROFIBAN,-0.3394173248245,0.0022420857292315016,0.7428666955740233
FARAMPATOR,0.2921919888760805,0.0019290844677525125,0.7428666955740233
TAK-220,0.312367155918531,0.0017933595760598236,0.7428666955740233
ISRIB,0.3305482418088654,0.00203667376401057,0.7428666955740233
BUCLIZINE,0.360228656308,0.0006779036616480259,0.7428666955740233
PNU-142633,0.36240080794435,0.0024726603575886885,0.7428666955740233
EMRICASAN,0.3815052560581745,0.0018190602897069927,0.7428666955740233
IVABRADINE,0.398249397675,0.0027893511541726376,0.7428666955740233
RADOTINIB,0.45019798956932133,0.002651229169444458,0.7428666955740233
RG2833,0.695300148569,0.0016553120712075172,0.7428666955740233
RG7112,1.6232498867371072,0.0024945875913261603,0.7428666955740233
CGM097,1.9620533416963,0.0012698792127595678,0.7428666955740233
IDASANUTLIN,2.1243138258556002,0.0003955890407607213,0.7428666955740233
SAR405838,2.4789094597587367,0.0014110386709772758,0.7428666955740233
ANDROSTERONE,-0.2737461295415,0.003123588966134654,0.7917673311358122
ORNIPRESSIN,-2.26290956586852,0.013723572855907296,0.8076317383526098
HA14-1,-1.33368959998,0.0033759544659699293,0.8076317383526098
MELPHALAN,-1.290008942481,0.005640367148944031,0.8076317383526098
SB-205384,-0.829773631335,0.016216190195230844,0.8076317383526098
BISACODYL,-0.663518750669,0.014309398025474752,0.8076317383526098
INDIUM(III)-ISOPROPOXIDE,-0.6350745517459101,0.015156777457772691,0.8076317383526098
SANT-2,-0.6190887168244,0.012582126233351509,0.8076317383526098
PGL5001,-0.5950752450601,0.017107240532891154,0.8076317383526098
SAMERIDINE,-0.5594620151070935,0.01011633723915797,0.8076317383526098
EXHERIN,-0.5335562235210001,0.008581833413545606,0.8076317383526098
ZALCITABINE,-0.52703752530655,0.0061105071563416075,0.8076317383526098
HYODEOXYCHOLIC-ACID,-0.521357097987,0.011176500143479564,0.8076317383526098
PEFICITINIB,-0.5119147426010501,0.010294686983954271,0.8076317383526098
UK-356618,-0.504829172408503,0.016992638709294614,0.8076317383526098
SD-0006,-0.4697441077459859,0.0037145495831325047,0.8076317383526098
LEVO-PHENCYNONATE,-0.4688465666819,0.004068914527163434,0.8076317383526098
3-MPPI,-0.456790285581,0.014559077290952417,0.8076317383526098
LOXAPINE,-0.45355902747314003,0.006792198385096419,0.8076317383526098
IMIPRAMINE,-0.45105309764304996,0.009265953171761519,0.8076317383526098
OLEAMIDE,-0.43764930187429996,0.01634061870453901,0.8076317383526098
MUSCIMOL,-0.436695004082,0.015463646317285619,0.8076317383526098
TELOTRISTAT,-0.43453630390799997,0.005506415513573542,0.8076317383526098
GNF-2,-0.426499818181,0.017501510316229953,0.8076317383526098
