feature,delta_value,p_value,corrected_p_value
CDKN1A,-98.775,0.00021108466415340488,0.36830435991784544
PHLDA3,-52.49500000000001,5.60970313299237e-05,0.36830435991784544
FDXR,-20.385,0.00018510316414846223,0.36830435991784544
ZMAT3,-7.13,0.00014919468600865077,0.36830435991784544
SESN1,-7.049999999999997,0.00017326970842482722,0.36830435991784544
EDA2R,-5.805000000000001,0.00014919468600865077,0.36830435991784544
TP53INP1,-3.3200000000000003,0.00020096418146293602,0.36830435991784544
HOGA1,-1.0799999999999998,0.00010832066565529883,0.36830435991784544
PTCHD4,-0.785,0.000159477492603621,0.36830435991784544
MAGIX,-0.7,0.00018207556116366983,0.36830435991784544
APOBEC3H,-0.33999999999999986,0.00013953847782554113,0.36830435991784544
RGCC,5.485,0.0002825850905518564,0.4519713035801483
TMEM129,-13.23,0.0003110797465477238,0.45927335196080477
DDB2,-32.22,0.0004985148935752053,0.6834283108849225
TSPAN31,-19.775000000000006,0.0006979845539674784,0.7787263050817732
CYFIP2,-16.500000000000004,0.000647029910031932,0.7787263050817732
ABCA12,-0.1399999999999999,0.0007303221743068784,0.7787263050817732
VRK1,25.169999999999987,0.0007193914579893768,0.7787263050817732
RPL37,1521.2500000000005,0.0008112647778146808,0.81950552003143
GDF15,-104.91499999999999,0.0009696562205063118,0.8838577863732694
SYAP1,-6.595000000000001,0.0009696562205063118,0.8838577863732694
TTLL5,11.170000000000002,0.0010591741304947218,0.8838577863732694
RPL22,316.2150000000004,0.0010591741304947218,0.8838577863732694
BBC3,-5.335000000000002,0.0011395490278128238,0.9113068537838136
LRPAP1,-49.82000000000002,0.001190442779797522,0.9139267309061536
PSAP,-289.59000000000054,0.017356789412701256,0.9358134096385307
ATP5ME,-255.38000000000034,0.004952445765450429,0.9358134096385307
PPIB,-249.05500000000018,0.010424273608071462,0.9358134096385307
HSP90B1,-229.03499999999968,0.03901168331216344,0.9358134096385307
P4HB,-208.88999999999987,0.023380805510503228,0.9358134096385307
LGALS3BP,-123.41000000000005,0.004826362066420751,0.9358134096385307
RPS27L,-113.96,0.012888926982568175,0.9358134096385307
BSG,-113.09500000000003,0.04061050675095537,0.9358134096385307
EIF4A2,-88.49999999999994,0.010932483282142382,0.9358134096385307
BAX,-78.49000000000004,0.010932483282142382,0.9358134096385307
SAT1,-74.99999999999997,0.044852220572255456,0.9358134096385307
CHMP2A,-69.18500000000002,0.01815299976697282,0.9358134096385307
GLUL,-66.88000000000004,0.02745524242192374,0.9358134096385307
ID1,-64.35500000000005,0.043112694078518116,0.9358134096385307
EDF1,-63.10000000000008,0.035246877265629716,0.9358134096385307
ITGB5,-59.905000000000015,0.00880705847699511,0.9358134096385307
CST3,-59.31000000000006,0.032462538074721485,0.9358134096385307
DHCR24,-57.495,0.015148979523528179,0.9358134096385307
TSPAN3,-54.18000000000001,0.014470095869342586,0.9358134096385307
PLXNB2,-49.40999999999999,0.03634231920249576,0.9358134096385307
PHPT1,-49.325000000000045,0.04143052999531741,0.9358134096385307
TMED2,-48.629999999999995,0.018981013466882187,0.9358134096385307
CNPY2,-45.719999999999985,0.04397519606144172,0.9358134096385307
