feature,delta_value,p_value,corrected_p_value
XRCC4_2908,-78.8,0.010991948876579536,1.0
ZNF595_49569,-76.25,0.5467515877739362,1.0
NUP50_75284,-75.0,0.08519169643587948,1.0
LPAR2_85583,-70.0,0.031723592971933084,1.0
DIDO1_4059,-68.57,0.07957467478077734,1.0
GNB2L1_113212,-67.25,0.10116095938734566,1.0
KIAA1984_53851,-58.33,0.03738121474380012,1.0
PKD1P5_82997,-57.50500000000001,0.07670014756236058,1.0
STX10_85416,-52.815000000000005,0.076800856414984,1.0
FLNB_120344,-52.769999999999996,0.1661097466876158,1.0
DIDO1_124271,-52.43,0.07646118920174229,1.0
FLNB_58116,-51.86,0.15132523737083364,1.0
PLD3_76886,-50.0,0.18178631035567527,1.0
XPNPEP3_91714,-49.67,0.08037518145692542,1.0
FKBP11_113540,-49.39,0.30372403200284004,1.0
MDM2_45563,-48.225,0.00010840644786882913,1.0
C8orf59_100752,-47.41,0.4600123315447202,1.0
SLC25A3_4980,-47.144999999999996,0.08334738703101835,1.0
NFATC3_28164,-46.3,0.3050588592616783,1.0
RAP1GAP2_52830,-46.07,0.17460274050407687,1.0
SESN1_122497,-45.75,0.0014264108192243218,1.0
TPD52L2_117041,-45.45,0.27084270298748503,1.0
CLSTN1_83432,-43.09,0.06326993394025353,1.0
RP11-640M9.2_24019,-42.595,0.07799579076205111,1.0
CDK7_90417,-41.995000000000005,0.07913851308646845,1.0
ISYNA1_121988,-41.365,0.004207005004992493,1.0
RPL21_65894,-40.85,0.2274209215886711,1.0
TMEM173_94422,-38.71000000000001,0.0023720614010506592,1.0
C9orf16_75593,-38.71,0.08930576632710778,1.0
CA5B_7663,-38.25000000000001,0.006144033721726997,1.0
CA5BP1_7664,-38.25000000000001,0.006144033721726997,1.0
PSMA7_9204,-37.04,0.27067288071479667,1.0
C8orf59_53849,-36.59499999999999,0.9933860817420452,1.0
ATP11C_59424,-34.75,0.24658387152842687,1.0
NAPRT1_48755,-34.645,0.4230546592230048,1.0
RPL8_55074,-33.78,0.2807247784534682,1.0
MYO18A_8198,-33.690000000000005,0.2729993370250614,1.0
PPIL2_13816,-33.33,0.12609786100937256,1.0
TSPAN4_38270,-32.93000000000001,0.07153181901555246,1.0
PBRM1_120591,-32.535,0.19223523003048415,1.0
LRRC37A2_744,-32.06999999999999,0.025722166910900762,1.0
LPCAT2_100618,-31.735,0.2848893893159776,1.0
ACTR3C_12606,-31.330000000000002,0.05224452670792814,1.0
AC002116.7_58485,-31.244999999999997,0.13381637881272346,1.0
IP6K2_114602,-31.099999999999994,0.023749939791583418,1.0
TPM2_19427,-30.760000000000005,0.009542481290408827,1.0
NCOR2_27231,-30.0,0.13174180922446718,1.0
MRPL43_103279,-30.0,0.316828594573095,1.0
ISOC2_32449,-29.97,0.0036191049075792858,1.0
TM2D1_77733,-29.70000000000001,0.07744527599252261,1.0
TTC3_70865,-29.265,0.017974409642162598,1.0
C9orf16_42729,-29.22,0.051825771756212946,1.0
SIAE_110028,-29.200000000000003,0.111610521932368,1.0
PLA2G6_95702,-29.130000000000003,0.43604859924046524,1.0
GLIPR1_27503,-29.059999999999995,0.3531927735350684,1.0
UHRF1BP1L_54344,-28.569999999999993,0.12823687043686335,1.0
NAPRT1_127242,-28.510000000000005,0.4126532580801834,1.0
AP000769.1_63081,-28.369999999999997,0.10083058156785936,1.0
TYMS_81301,-28.33,0.12031629441275593,1.0
MDM2_82727,-28.26,0.0001135939707068092,1.0
TGIF1_60723,-28.090000000000003,0.051829166339728665,1.0
GSE1_110466,-27.995000000000005,0.02689617255160899,1.0
RGS3_108758,-27.960000000000004,0.30273576308950867,1.0
CPSF3L_120104,-27.78,0.04250942061308234,1.0
DBP_16507,-27.715,0.17351397408246727,1.0
RP11-640M9.2_25908,-27.584999999999994,0.013911630774566027,1.0
RAI14_72003,-27.53,0.29911611418700534,1.0
CAPN8_3319,-27.410000000000004,0.004667135671793255,1.0
KIAA0319L_3320,-27.410000000000004,0.004667135671793255,1.0
SDHAP1_110072,-27.390000000000015,0.29334212292800343,1.0
ZNF862_100727,-26.92,0.07096838434196925,1.0
MDM4_48718,-26.919999999999998,0.3729341287381579,1.0
TPCN2_52451,-26.784999999999997,0.03555542929111853,1.0
RP5-1165K10.1_79034,-26.54,0.1286399479920202,1.0
RUFY1_93793,-26.175,0.03404722301596989,1.0
INO80B_119768,-26.130000000000003,0.004916101303299354,1.0
WBP1_119769,-26.130000000000003,0.004916101303299354,1.0
ZNF518A_1003,-26.09,0.1878084800072044,1.0
FADS2_103900,-26.005,0.2394263667085661,1.0
SIX5_59813,-25.865000000000002,0.009436362301219829,1.0
BCL9_26065,-25.81,0.004812051338821656,1.0
RHPN1_31199,-25.805,0.0298631600874734,1.0
CTBP1-AS2_121658,-25.795,0.16010663074890408,1.0
MDM2_72029,-25.689999999999998,0.03851180982566366,1.0
ECHDC2_64142,-25.415,0.19864862321786603,1.0
TMEM161A_98305,-25.38499999999999,0.0021940337402050637,1.0
HLA-A_120481,-25.174999999999997,0.9736992897368464,1.0
TCP1_121223,-25.085000000000008,0.17484801308837938,1.0
CD151_118614,-25.04,0.06300732718251807,1.0
KRT8_10486,-24.78,0.147970228680758,1.0
ZNF330_117781,-24.705,0.016131344100838902,1.0
KIAA1522_93137,-24.7,0.21033087745724954,1.0
PPFIBP1_88699,-24.64499999999999,0.1598800778061854,1.0
MMS22L_16102,-24.585000000000008,0.0036272931332240787,1.0
CRTC1_33265,-24.564999999999998,0.005820655781867058,1.0
MPRIP_24079,-24.425000000000004,0.13786071819153903,1.0
ATG12_23928,-24.4,0.06540005588325112,1.0
SLC41A1_131589,-24.310000000000002,0.014668259625073753,1.0
RP5-1021I20.4_121183,-24.18,0.02620175472806376,1.0
ZNF410_121184,-24.18,0.02620175472806376,1.0
PRMT2_36591,-24.044999999999987,0.01385927180596752,1.0
TSR1_626,-23.935000000000002,0.00941206959788279,1.0
BCL2L2-PABPN1_12039,-23.924999999999997,0.004387938055238017,1.0
RP11-156P1.3_22381,-23.810000000000002,0.013168919662322219,1.0
FNIP1_100595,-23.81,0.17565970679968534,1.0
