feature,delta_value,p_value,corrected_p_value
IDASANUTLIN,2.4457054404350003,5.3491397511695496e-05,0.16948749301580718
MILADEMETAN,3.1299621134916107,4.25743966098324e-05,0.16948749301580718
AMG-232,1.878422056556,0.00011005312830425872,0.23246889135469584
RG7112,1.6667911947010763,0.00020163504650860914,0.27321110992619946
CGM097,2.092653565239,0.00021556817889079963,0.27321110992619946
SAR405838,2.268313500772734,0.00028764240195323183,0.30379831686293834
LINOPIRDINE,-0.35854589086695,0.0006222897125525704,0.5633499869208054
PTC-028,-3.18487455101848,0.05690923586648463,0.848805193799887
ADAVIVINT,-2.1970472203897002,0.11109712985764918,0.848805193799887
TC-S-7003,-2.1967236986757346,0.057056716267754735,0.848805193799887
POLYDATIN,-1.993672754482,0.010590409224499237,0.848805193799887
MELPHALAN,-1.8678623396210001,0.01262067367293497,0.848805193799887
PHA-680632,-1.8600511398055,0.031233991342606675,0.848805193799887
GDC-0575,-1.8553646614198906,0.1256293864276594,0.848805193799887
AP-18,-1.8181240312256355,0.07723553638016373,0.848805193799887
GSK923295,-1.7823232273865002,0.0035643926491951577,0.848805193799887
DEXRAZOXANE,-1.6550775393356,0.035626129842882846,0.848805193799887
AV-412,-1.6129236773109998,0.006613599963330516,0.848805193799887
4SC-202,-1.579687827513355,0.007804439953797174,0.848805193799887
ETOPOSIDE,-1.5381663345469998,0.0021257749587486677,0.848805193799887
ORNIPRESSIN,-1.51198497325165,0.030222318572015804,0.848805193799887
ELDECALCITOL,-1.4607239942891348,0.11280055477337408,0.848805193799887
NAQUOTINIB,-1.3860894653028102,0.0163392412214269,0.848805193799887
10-DEACETYLBACCATIN,-1.36427067288,0.08970873809949254,0.848805193799887
SKLB-1028,-1.344915610515012,0.024917755044732814,0.848805193799887
VE-822,-1.331518155387,0.05546105367945976,0.848805193799887
THREO-2-METHYLISOCITRATE-(DL),-1.3066339533839488,0.0033915285605877637,0.848805193799887
PF-06747775,-1.306414425106414,0.0029229783877140147,0.848805193799887
INDIBULIN,-1.2594005316149999,0.060597515265419954,0.848805193799887
COMBRETASTATIN-A-4,-1.2543176864449999,0.06691124000337006,0.848805193799887
BRIVARACETAM,-1.2435154878525,0.023599945666772433,0.848805193799887
AZ960,-1.1967446886030002,0.051008266154610855,0.848805193799887
EPZ011989,-1.1690810751210838,0.014251463547509417,0.848805193799887
SCABERTOPIN,-1.1054437856238901,0.04601919468541639,0.848805193799887
AEE788,-1.0954351488847,0.03345247727874631,0.848805193799887
K-STROPHANTHIDIN,-1.0791879364435002,0.049943742954660204,0.848805193799887
CABAZITAXEL,-1.02309133716,0.13448406388341985,0.848805193799887
MK-8745,-0.9808779249594999,0.0922020956336059,0.848805193799887
CID-5458317,-0.9743006306850002,0.14182354682341408,0.848805193799887
ZM-306416,-0.9739871496300001,0.00579000912622966,0.848805193799887
PF-477736,-0.9666293670199999,0.036634177048628286,0.848805193799887
LY2606368,-0.9527689461634999,0.09095534594736993,0.848805193799887
INDISULAM,-0.94881258433895,0.07837967092274457,0.848805193799887
AFATINIB,-0.9434393364825,0.014657247416904228,0.848805193799887
XL-647,-0.9212701967204999,0.017614889217406282,0.848805193799887
PD-168393,-0.9208786040725,0.1119613542637483,0.848805193799887
SARACATINIB,-0.909482265541527,0.06913252135356777,0.848805193799887
RESIBUFOGENIN,-0.9074548478675,0.08956719943511504,0.848805193799887
PARDOPRUNOX,-0.875761990968,0.024533488059323472,0.848805193799887
STF-31,-0.8612531964390548,0.11982328822586016,0.848805193799887
ALISERTIB,-0.8585919369180001,0.08004618319660768,0.848805193799887
PD-166285,-0.8439520628725949,0.08790617184811178,0.848805193799887
MERCAPTOPURINE,-0.8415845276620001,0.019218105675178555,0.848805193799887
ISRIB,-0.8379350144032846,0.008983561694805993,0.848805193799887
IRINOTECAN,-0.8096851202200002,0.12696798453468236,0.848805193799887
OPROZOMIB,-0.8074640228400001,0.1350611866670934,0.848805193799887
"2,3-DCPE",-0.8000187402541,0.06442235604325422,0.848805193799887
COSTUNOLIDE,-0.7703143499405,0.012182991537619517,0.848805193799887
POZIOTINIB,-0.7676302498115001,0.007469758060428665,0.848805193799887
K-RAS(G12C)-INHIBITOR-12,-0.7546884443107216,0.038546069137574204,0.848805193799887
BAFILOMYCIN-A1,-0.752032360720754,0.06098503022969167,0.848805193799887
PCI-29732,-0.7378173049111316,0.007184050125236209,0.848805193799887
JD-5037,-0.7308459095119999,0.058917878579522256,0.848805193799887
AMONAFIDE,-0.71657053027825,0.08643078066022979,0.848805193799887
METHIAZOLE,-0.7055822487900001,0.072577702975798,0.848805193799887
CONVALLATOXIN,-0.6935737033981093,0.024701156569523274,0.848805193799887
DACOMITINIB,-0.686272085501,0.017814986782998744,0.848805193799887
GSK3326595,-0.6802823342205401,0.054003342219246256,0.848805193799887
OSI-420,-0.668408676663,0.15342098023122405,0.848805193799887
VOLASERTIB,-0.66553161385,0.04059090074678254,0.848805193799887
LY2334737,-0.6092589697540001,0.0633470694830293,0.848805193799887
HYPOESTOXIDE,-0.6071710330255,0.022154151282486212,0.848805193799887
CUDC-101,-0.6022202699799999,0.11906388325230803,0.848805193799887
PARTHENOLIDE-(ALTERNATE-STEREO),-0.600964596313,0.09666504895115965,0.848805193799887
ARQ-092,-0.600198415589936,0.1478993354428748,0.848805193799887
TYRPHOSTIN-AG-1478,-0.5971761660675,0.031233991342606675,0.848805193799887
LAPATINIB,-0.5861282725145001,0.025772051880072037,0.848805193799887
CH5132799,-0.5855478227675,0.0837686721656663,0.848805193799887
BARASERTIB-HQPA,-0.583657345085,0.1597071347601634,0.848805193799887
TEDIZOLID-PHOSPHATE,-0.5458193160746,0.04299040920793896,0.848805193799887
LORACARBEF,-0.5448687026858345,0.12345715753839606,0.848805193799887
ARQ-621,-0.54382891486632,0.08182337378791597,0.848805193799887
RHC-80267,-0.5427791443026,0.00238879200719814,0.848805193799887
NVP-231,-0.5418859785453052,0.11145425779529244,0.848805193799887
ANLOTINIB,-0.5408809348259574,0.05230131982321826,0.848805193799887
SNS-314,-0.5401322634349999,0.1597071347601634,0.848805193799887
TAK-901,-0.5224247335349999,0.1589171427392695,0.848805193799887
TRYPTANTHRIN,-0.519647534741605,0.027138598052653902,0.848805193799887
ARTEMISININ,-0.51898940697525,0.041271543896996644,0.848805193799887
AZD8931,-0.5179419930658,0.143568115291347,0.848805193799887
CISAPRIDE,-0.5113736036840001,0.14541755531194134,0.848805193799887
BMS-754807,-0.5067625106985,0.08850485419094298,0.848805193799887
YK-4-279,-0.5010615235287601,0.0961044167188124,0.848805193799887
ENMD-2076,-0.499707304386,0.15398288460589238,0.848805193799887
THZ1-R,-0.48974475559447145,0.0802367502682842,0.848805193799887
BIX-02189,-0.48898268304750003,0.0826564690396736,0.848805193799887
PROADIFEN,-0.4862220350665,0.013339223435248484,0.848805193799887
MEPACRINE,-0.48482038558499996,0.1377196678535584,0.848805193799887
GRAMINE,-0.4846275398055,0.09075176591775759,0.848805193799887
GDC-0941,-0.47935335401095,0.0850890728162038,0.848805193799887
