feature,delta_value,p_value,corrected_p_value
RPS27L,-138.01,0.0008529013971015376,0.3173191560392091
SSR4,-102.6950000000001,0.0025061478357855803,0.3173191560392091
CDKN1A,-96.68499999999999,0.0007884220822445893,0.3173191560392091
CRTAP,-87.685,0.0019187887271305145,0.3173191560392091
TXNDC5,-84.45,0.0023884251345780306,0.3173191560392091
ESD,-58.33999999999999,0.0008754589307363541,0.3173191560392091
C1orf43,-57.47999999999999,0.0020151463155159413,0.3173191560392091
BUD23,-51.76500000000004,0.0023884251345780306,0.3173191560392091
TMEM256,-45.67999999999997,0.0007884220822445893,0.3173191560392091
VPS25,-44.154999999999994,0.000690920070751836,0.3173191560392091
PCBP1,-41.04999999999998,0.0023034794239993194,0.3173191560392091
MRPL23,-40.48499999999996,0.0017821639089389144,0.3173191560392091
MRPL53,-39.859999999999985,0.00035049089649139453,0.3173191560392091
ACAT1,-35.355000000000004,0.002275785018975323,0.3173191560392091
MRPL24,-34.79999999999998,0.0028918794683059582,0.3173191560392091
NDUFAF3,-33.955,0.0010768540992288718,0.3173191560392091
SNX17,-29.330000000000005,0.0012236550066352578,0.3173191560392091
DGUOK,-25.710000000000008,0.0018493174342335188,0.3173191560392091
HERPUD1,-20.325000000000003,0.002275785018975323,0.3173191560392091
COA3,-20.165000000000013,0.0020151463155159413,0.3173191560392091
NAGLU,-12.960000000000004,0.0007884220822445893,0.3173191560392091
ACTA2,-12.959999999999999,0.002168030808877233,0.3173191560392091
MLX,-11.434999999999999,0.0018722135115079527,0.3173191560392091
STRADB,-11.150000000000007,0.0025061478357855803,0.3173191560392091
NFU1,-10.29,0.0022213092118944194,0.3173191560392091
SEC24D,-9.54,0.0012236550066352578,0.3173191560392091
IER3IP1,-8.549999999999995,0.0018042952225193845,0.3173191560392091
ZMAT3,-5.93,0.0007479818272022572,0.3173191560392091
TGDS,-4.305000000000007,0.0016545334966992361,0.3173191560392091
STK32B,-1.1050000000000002,0.00040802003140590304,0.3173191560392091
PTCHD4,-0.765,0.0023034794239993194,0.3173191560392091
SGCA,-0.10500000000000005,0.0006379262968400493,0.3173191560392091
DRD5,0.01,0.001826678871526674,0.3173191560392091
DNAAF6,0.02,0.002359796408959866,0.3173191560392091
FLT3,0.060000000000000005,0.0023884251345780306,0.3173191560392091
SPEM2,0.08,0.0022213092118944194,0.3173191560392091
PLSCR2,0.09,0.0003603514924034929,0.3173191560392091
IFNL1,0.1,0.002141833253115824,0.3173191560392091
IMPG1,0.1199999999999999,0.0013371838553968968,0.3173191560392091
GBP6,0.1300000000000001,0.0007988444970399806,0.3173191560392091
PCP4L1,0.1499999999999999,0.002926352869220029,0.3173191560392091
ZBP1,0.1699999999999999,0.0011928930778709647,0.3173191560392091
RNF183,0.1799999999999999,0.0024466386105123123,0.3173191560392091
CACNA1I,0.20999999999999988,0.0004615283871304717,0.3173191560392091
PIK3C2G,0.2099999999999999,0.0015353619964352972,0.3173191560392091
CCDC173,0.2399999999999998,0.002331482200674711,0.3173191560392091
CD6,0.24000000000000002,0.002064972336908254,0.3173191560392091
GALR2,0.27,0.0008418258875302303,0.3173191560392091
IZUMO1,0.2900000000000001,0.000983978827297142,0.3173191560392091
OR2B6,0.30999999999999994,0.002857777144125344,0.3173191560392091
