feature,delta_value,p_value,corrected_p_value
ARHGEF11_35286,-85.69500000000001,0.001204781215189796,0.8055570554662375
CYB561A3_70746,-72.08000000000001,0.002529316564635877,0.8055570554662375
CYB561A3_128048,-68.88,0.0030270972191900215,0.8055570554662375
SCRIB_32514,-68.58500000000001,0.001104842194898584,0.8055570554662375
CYB561A3_108783,-68.45,0.003253911905823011,0.8055570554662375
CLSTN1_83432,-65.765,0.004039685661037775,0.8055570554662375
KIAA1468_31405,-60.160000000000004,0.004012483981056946,0.8055570554662375
KIAA1468_79998,-58.2,0.0021250209850599113,0.8055570554662375
KLC3_59962,-58.07500000000001,0.000308915115322288,0.8055570554662375
KLC3_20321,-55.27,0.00025012278489402844,0.8055570554662375
CTNND1_59116,-53.845,0.0007479818272022572,0.8055570554662375
TMX2-CTNND1_59117,-53.845,0.0007479818272022572,0.8055570554662375
KLC3_28864,-52.00999999999999,0.0004911070173096486,0.8055570554662375
KLC3_27453,-51.550000000000004,0.00022399474085984364,0.8055570554662375
CTNND1_112921,-45.505,0.0024466386105123123,0.8055570554662375
MYO9A_125190,-45.45,0.0003501162650486686,0.8055570554662375
OSBPL3_4752,-45.44999999999999,0.0003539779514906243,0.8055570554662375
CTNND1_103777,-45.135000000000005,0.002275785018975323,0.8055570554662375
TBC1D13_70149,-44.24999999999999,0.0011097915045271902,0.8055570554662375
AKAP9_14631,-44.169999999999995,0.0018216202052151766,0.8055570554662375
GPR137_61005,-42.59,0.0015069049996634133,0.8055570554662375
MDM2_45563,-38.515,0.0029612009247216055,0.8055570554662375
TEAD1_68444,-38.16,0.00041603745182719514,0.8055570554662375
KRT8_76190,-37.55,0.0028890176117552196,0.8055570554662375
ARHGAP17_116693,-36.13,0.0016986950511446528,0.8055570554662375
MYO1B_128292,-35.155,0.0007403388307233554,0.8055570554662375
SMAGP_23711,-34.825,0.0025489785060223355,0.8055570554662375
CHRNA5_30979,-29.91,0.0024853747888124024,0.8055570554662375
POMT2_91490,-29.409999999999997,0.0010990115895304078,0.8055570554662375
BMS1P4_93800,-28.569999999999993,0.0026849243859622487,0.8055570554662375
RP11-464F9.1_93801,-28.569999999999993,0.0026849243859622487,0.8055570554662375
RP11-574K11.28_93802,-28.569999999999993,0.0026849243859622487,0.8055570554662375
MARK3_75520,-28.430000000000007,0.0019180833772574968,0.8055570554662375
GSE1_21663,-27.589999999999996,0.003920678990721423,0.8055570554662375
AP001258.4_80466,-26.92499999999999,0.0023968403640763037,0.8055570554662375
TSPAN4_38270,-26.485000000000014,0.0029286282714548143,0.8055570554662375
CPSF7_71508,-25.989999999999995,0.0022765590824815156,0.8055570554662375
CPSF7_119790,-25.989999999999995,0.0020300252507968308,0.8055570554662375
SLC22A5_11720,-24.789999999999992,0.0031254603110356617,0.8055570554662375
TCIRG1_125034,-24.319999999999993,0.002713497110749583,0.8055570554662375
GPR137_21076,-23.305000000000007,0.0009408176242884106,0.8055570554662375
ACCS_34154,-23.11,0.001358394560825284,0.8055570554662375
ABI1_81887,-22.955,0.0021159262412179885,0.8055570554662375
AP001258.4_99161,-22.665,0.002368974245808515,0.8055570554662375
ABI1_18164,-22.430000000000007,0.0025978973863517068,0.8055570554662375
ABCD4_114267,-22.38499999999999,0.0006391713295958177,0.8055570554662375
MDM2_82727,-22.380000000000003,0.001863219814786247,0.8055570554662375
TMEM120A_46169,-22.310000000000002,0.0019364125079298629,0.8055570554662375
SLC22A5_63378,-21.519999999999996,0.0019850033196172783,0.8055570554662375
SPATA7_108085,-21.415000000000003,0.003447084794782396,0.8055570554662375
EDF1_68868,-21.049999999999997,0.0006266396170092184,0.8055570554662375
G6PC3_120382,-20.305000000000007,0.00026112447911448615,0.8055570554662375
NAPB_104880,-20.0,0.002472664647135315,0.8055570554662375
C19orf66_115902,-19.814999999999998,0.002593748501382797,0.8055570554662375
LRRC14_95234,-19.685,0.002660759054265472,0.8055570554662375
IFT122_72824,-19.279999999999994,0.002774953729897704,0.8055570554662375
POLQ_120412,-19.230000000000004,0.002500790171212006,0.8055570554662375
PIGO_78952,-18.03,0.0039670241827795315,0.8055570554662375
PMS2CL_43883,-17.459999999999994,0.0041854627438475895,0.8055570554662375
PLAA_11995,-17.39,0.0009317540489166531,0.8055570554662375
TRPT1_45386,-17.25500000000001,0.0031411882813522926,0.8055570554662375
GSTM4_78947,-17.019999999999996,0.002251032828568479,0.8055570554662375
FAM73A_35399,-16.33,0.002898538315731345,0.8055570554662375
FAM73A_52282,-16.299999999999997,0.0026926762097722705,0.8055570554662375
CAPN10_80043,-16.235,0.0012492443097419667,0.8055570554662375
DGKA_42870,-15.790000000000006,0.00014241978005135155,0.8055570554662375
AC018737.1_83087,-15.674999999999997,0.0033365274599922363,0.8055570554662375
STAG3L3_7228,-15.445000000000007,0.003656787312203505,0.8055570554662375
PLXNB1_115747,-15.344999999999999,0.003685621688915556,0.8055570554662375
STK36_62217,-15.150000000000006,0.003072741726904505,0.8055570554662375
ARL16_67692,-15.090000000000003,0.0033823618680719216,0.8055570554662375
TPCN1_68359,-14.915000000000006,0.0008200739755647421,0.8055570554662375
SNX1_95610,-14.86999999999999,0.0011777815055626355,0.8055570554662375
PPHLN1_108364,-14.810000000000002,0.003526794725281029,0.8055570554662375
TRIM37_68182,-14.754999999999995,0.0042971374106219,0.8055570554662375
ABCD4_47420,-14.75,0.00021948906149281042,0.8055570554662375
SNX1_105240,-14.690000000000012,0.0011928930778709647,0.8055570554662375
PRC1_31954,-14.07,0.0018493174342335188,0.8055570554662375
HAUS7_118299,-13.61499999999998,0.0017329268641783338,0.8055570554662375
TREX2_118300,-13.61499999999998,0.0017329268641783338,0.8055570554662375
FLAD1_114980,-13.43,0.0019942147557434407,0.8055570554662375
PLXNB1_79885,-13.41000000000001,0.0013486319540667927,0.8055570554662375
PNPO_116515,-13.379999999999995,0.003178361031961893,0.8055570554662375
RP11-6N17.9_116516,-13.379999999999995,0.003178361031961893,0.8055570554662375
ANKRD26_96235,-13.209999999999994,0.00024334852891861404,0.8055570554662375
PLOD3_33056,-13.190000000000012,0.0006537842628752882,0.8055570554662375
VPS33B_107703,-13.069999999999993,0.002910773252147921,0.8055570554662375
TYK2_51903,-13.010000000000005,0.0013541733396937093,0.8055570554662375
CBX5_36994,-12.905000000000001,0.004011182958929249,0.8055570554662375
PDK1_27931,-12.879999999999995,0.0007286795277534463,0.8055570554662375
C19orf66_99014,-12.694999999999993,0.00020121739594083308,0.8055570554662375
KDM5B_23407,-12.5,0.003782221720854564,0.8055570554662375
APH1A_33103,-12.225000000000009,0.0020151463155159413,0.8055570554662375
TJAP1_8617,-12.080000000000013,0.001135832854878452,0.8055570554662375
RELT_63100,-12.079999999999998,0.0037709799099052937,0.8055570554662375
ZFAND1_67972,-12.059999999999988,0.00419982821263871,0.8055570554662375
TMEM201_99838,-11.879999999999995,0.0028021065773655225,0.8055570554662375
MFSD11_7022,-11.720000000000006,0.004108342295879151,0.8055570554662375
DNAJC5_125473,-11.71499999999999,0.003370309316639118,0.8055570554662375
CAMTA2_48298,-11.599999999999994,0.0030805696499121133,0.8055570554662375
TARS2_61773,-11.510000000000005,0.0018493174342335188,0.8055570554662375
DERL2_24603,-11.334999999999994,0.0006294705445049452,0.8055570554662375
ABCB9_12803,-11.11,0.004131260186284908,0.8055570554662375
NPIPB4_83718,-11.0,0.0013873310560704776,0.8055570554662375
NEK1_20121,-10.989999999999998,0.0029299353314547385,0.8055570554662375
EDF1_24356,-10.985,0.0009222424546314623,0.8055570554662375
TMEM201_70780,-10.91,0.003147030022315729,0.8055570554662375
TATDN3_47786,-10.87,0.0040201621001602445,0.8055570554662375
CLASRP_73307,-10.760000000000002,0.00039774980052499506,0.8055570554662375
VPS33B_26874,-10.715000000000003,0.0022916992878897246,0.8055570554662375
PPT2_68753,-10.709999999999994,0.0033784530604067577,0.8055570554662375
PPT2-EGFL8_68754,-10.709999999999994,0.0033784530604067577,0.8055570554662375
LAS1L_29399,-10.510000000000005,0.0015353619964352972,0.8055570554662375
SMARCD1_17486,-10.485,0.002331482200674711,0.8055570554662375
TMEM173_102297,-10.430000000000007,0.002089949244663035,0.8055570554662375
TSPAN4_121273,-10.36999999999999,0.0016752036953253569,0.8055570554662375
ANKRD36_72417,-10.264999999999999,0.0031821005032981868,0.8055570554662375
ZNF248_27850,-10.170000000000002,0.0039207611847620095,0.8055570554662375
CEP250_117302,-9.819999999999993,0.004062466969585934,0.8055570554662375
HNRNPH1_92026,-9.745000000000005,0.002926352869220029,0.8055570554662375
ZNF131_1728,-9.620000000000005,0.0036071802008664816,0.8055570554662375
DNM2_41084,-9.535,0.0021159262412179885,0.8055570554662375
CARM1_27591,-9.485000000000003,0.00329229768774386,0.8055570554662375
ENY2_122874,-9.45,0.0008754589307363541,0.8055570554662375
GRK6_94704,-9.314999999999998,0.003022102311372282,0.8055570554662375
PIGF_53137,-9.215000000000003,0.0008093946532457241,0.8055570554662375
CORO7_68968,-9.150000000000006,0.003702709552388876,0.8055570554662375
TRPT1_87864,-9.085000000000008,0.002275785018975323,0.8055570554662375
CEP164_10528,-9.02000000000001,0.0016847240285553444,0.8055570554662375
APH1A_68115,-8.89,0.0012551481707598928,0.8055570554662375
FAM65A_77849,-8.819999999999993,0.0016659043773430038,0.8055570554662375
NECAB3_81094,-8.759999999999991,0.003485407687242005,0.8055570554662375
POMT1_5593,-8.730000000000004,0.00040723803374467636,0.8055570554662375
TSPAN31_101914,-8.709999999999994,0.002570089205204359,0.8055570554662375
CBX2_47168,-8.704999999999998,0.001613287904783729,0.8055570554662375
GSTM4_68989,-8.650000000000006,0.0004597324879416556,0.8055570554662375
TMEM173_58628,-8.624999999999986,0.002583382717162819,0.8055570554662375
SLC35A5_110526,-8.620000000000005,0.003656787312203505,0.8055570554662375
FBXW7_24469,-8.62,0.00014050910685576404,0.8055570554662375
DERL2_119342,-8.575000000000003,0.0008641119128660421,0.8055570554662375
ZSWIM8_82663,-8.564999999999998,0.00396594428128295,0.8055570554662375
GNAS_112445,-8.549999999999997,0.0012551481707598928,0.8055570554662375
NDUFA12_58930,-8.415000000000006,0.001516286425296006,0.8055570554662375
RP11-349A22.5_73478,-8.18,0.003215934302059723,0.8055570554662375
ZDHHC16_111179,-8.165,0.002757661283977504,0.8055570554662375
SIRT7_9464,-8.040000000000006,0.0019156869675784364,0.8055570554662375
SEPT9_75778,-7.989999999999995,0.0015845389982526185,0.8055570554662375
KCTD13_26570,-7.625,0.0011148242957659594,0.8055570554662375
IKBKB_11724,-7.609999999999999,0.0009133424209711279,0.8055570554662375
