	NCIH1581_LUNG	WM793_SKIN	TT_THYROID	RT4_URINARY_TRACT	253J_URINARY_TRACT	KYSE410_OESOPHAGUS	HCC1143_BREAST	HCC1419_BREAST	UACC62_SKIN	UO31_KIDNEY	NCIH460_LUNG	OVCAR4_OVARY	SF539_CENTRAL_NERVOUS_SYSTEM	SKMEL5_SKIN	UACC257_SKIN	CAKI1_KIDNEY	HCT116_LARGE_INTESTINE	IGROV1_OVARY	LOXIMVI_SKIN	MALME3M_SKIN	A498_KIDNEY	A549_LUNG	ACHN_KIDNEY	ZR751_BREAST	MCF7_BREAST	MDAMB175VII_BREAST	TOV21G_OVARY	CAPAN2_PANCREAS	HPAC_PANCREAS	HS766T_PANCREAS	HEC108_ENDOMETRIUM	HEC151_ENDOMETRIUM	HEC265_ENDOMETRIUM	HEC6_ENDOMETRIUM	U87MG_CENTRAL_NERVOUS_SYSTEM	U2OS_BONE	SJSA1_BONE	NB1_AUTONOMIC_GANGLIA	SW780_URINARY_TRACT	SKHEP1_LIVER	SKMEL24_SKIN	SNGM_ENDOMETRIUM	SW1573_LUNG	SH4_SKIN	SIMA_AUTONOMIC_GANGLIA	OSRC2_KIDNEY	ONS76_CENTRAL_NERVOUS_SYSTEM	OAW42_OVARY	NMCG1_CENTRAL_NERVOUS_SYSTEM	NCIH28_PLEURA	NCIH292_LUNG	NCIH358_LUNG	NCIH2052_PLEURA	NCIH1563_LUNG	MSTO211H_PLEURA	MHHNB11_AUTONOMIC_GANGLIA	MESSA_SOFT_TISSUE	MELHO_SKIN	MELJUSO_SKIN	LOVO_LARGE_INTESTINE	LS513_LARGE_INTESTINE	KU1919_URINARY_TRACT	KPNYN_AUTONOMIC_GANGLIA	KS1_CENTRAL_NERVOUS_SYSTEM	NCIH226_LUNG	ISTMES1_PLEURA	IGR1_SKIN	HT1080_SOFT_TISSUE	HT144_SKIN	H4_CENTRAL_NERVOUS_SYSTEM	GOS3_CENTRAL_NERVOUS_SYSTEM	GP2D_LARGE_INTESTINE	G402_SOFT_TISSUE	G361_SKIN	G401_SOFT_TISSUE	DV90_LUNG	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DKMG_CENTRAL_NERVOUS_SYSTEM	RMGI_OVARY	RCC10RGB_KIDNEY	CORL105_LUNG	COLO792_SKIN	COLO829_SKIN	COLO679_SKIN	COLO678_LARGE_INTESTINE	CHP212_AUTONOMIC_GANGLIA	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	CAL51_BREAST	CAL54_KIDNEY	C32_SKIN	CADOES1_BONE	AGS_STOMACH	AM38_CENTRAL_NERVOUS_SYSTEM	A673_BONE	A204_SOFT_TISSUE	A2780_OVARY	A375_SKIN	769P_KIDNEY	A172_CENTRAL_NERVOUS_SYSTEM	2313287_STOMACH	A101D_SKIN	HT1197_URINARY_TRACT	MKN45_STOMACH	LS180_LARGE_INTESTINE	SKCO1_LARGE_INTESTINE	LN229_CENTRAL_NERVOUS_SYSTEM	HCC1428_BREAST	SKNAS_AUTONOMIC_GANGLIA	ACCMESO1_PLEURA	NUGC4_STOMACH	NCIH838_LUNG	WM1799_SKIN	WM2664_SKIN	WM88_SKIN	TE617T_SOFT_TISSUE	TT_THYROID	TUHR4TKB_KIDNEY	SNU719_STOMACH	SNU840_OVARY	SNU899_UPPER_AERODIGESTIVE_TRACT	SQ1_LUNG	SNU466_CENTRAL_NERVOUS_SYSTEM	SNU1041_UPPER_AERODIGESTIVE_TRACT	SNU1076_UPPER_AERODIGESTIVE_TRACT	SNU1079_BILIARY_TRACT	PK45H_PANCREAS	PK59_PANCREAS	OVISE_OVARY	OVTOKO_OVARY	PANC0504_PANCREAS	NCIH1944_LUNG	LU99_LUNG	KPNSI9S_AUTONOMIC_GANGLIA	KNS81_CENTRAL_NERVOUS_SYSTEM	KMRC1_KIDNEY	KMRC3_KIDNEY	JL1_PLEURA	K029AX_SKIN	JHUEM2_ENDOMETRIUM	IM95_STOMACH	JHH1_LIVER	JHOC5_OVARY	HS939T_SKIN	HS944T_SKIN	HS852T_SKIN	HS294T_SKIN	HEPG2_LIVER	HEYA8_OVARY	HCC4006_LUNG	COV434_OVARY	BC3C_URINARY_TRACT	CAKI2_KIDNEY	253JBV_URINARY_TRACT	CAOV3_OVARY
8-BROMO-CGMP	0.166726898872	0.686424796073	-0.269814615083	1.28556988624	0.145346065495	-0.0495651903631	-0.00369925948092	0.14363546719	-0.316345514683	-0.346675004546	-0.486012364182	0.65564805951	0.285746052098	0.387321113368	-0.10530705259	0.324036852705	0.0380791992683	-0.516269100288	-0.128453683641	-0.335680885652	0.349261695913	-0.2535409223	0.716440789744	-0.495332256402	-0.0259266921681	0.116527390917	-1.46864848092	-0.346441196257	1.19065440179	0.432705460091	-0.0923831656137	-0.101104184077	-1.0453301893	-0.427143095068	-0.295460131364	-0.0651201861489	0.0409941634937	0.0825073549009	-0.385334698085	-0.604187620486	-0.21634795322	0.600972107054	1.47205265592	-0.0785821805783	-0.38799549557	0.366967407472	0.327369169048	0.69291296725	0.428041783377	0.773118346159	0.353068310496	-0.112336048423	1.06996817063	-0.0364917620795	-0.146391773196	-0.359177001434	0.434216209275	-0.13271706503	-0.55985086699	-1.04997395697	-0.0957303279922	0.283603745019	-0.878342282651	0.101699058396	0.112527742998	0.45145678232	0.103835170194	-0.51336325523	0.135213673032	0.417014192179	0.651730446842	-0.357931451797	-0.195443142303	-0.0577616454793	-1.635458146		-0.346160844508	-0.526099323007	-0.312276659557	-0.0742472814804	0.492706876909	0.0674690427036	-0.375349639767	-0.256229883707	0.238928250066	-0.153154387063	-0.123072536601	0.314526913834	-0.428486711481	-0.0619669694666	-0.712031001391	-0.368390897648		-0.133103304977	-0.659343855545	-0.515513047222	0.0572049435174	-0.122926989314	0.136328587446	-0.343265412438	0.379480424513	-0.173957970445	-0.100474309909	0.0515727703723		-0.0113536888211	-0.248864826345	-0.277398114578	-0.345327749447	-0.135166579621	0.168494856479	-0.397901180014	0.0598839895301	-0.298550801516		-0.269814615083	-0.422613610162	-0.583355520021	0.212904147514	0.265499654995	0.414759776936	-0.460894800125	-0.0837154663197	0.856013968431	0.0946955461947	-0.0220192184782	-0.360356743534	-0.580090544549	0.0959456805888		-0.126679674565	0.0354077402292	-2.00694920708	0.191040907887	-1.35235018478	-0.532886534526	0.13223925689	-0.153496488288	-0.264878461749	0.57602093478	-0.233181065638	-0.126569665805	0.654636859205	-0.378667925536	0.764631181343	0.128302188668	0.398403347956	0.0025172763991	0.019061556972	-0.155062346869	-0.318180673501	0.175604416689	0.398094068955	-0.897750259845
NIFURTIMOX	0.224047647665	-0.393556241169	-0.139670694455	-1.27247011183	-0.499274420351	-0.0827932142573	-0.833935286482	0.130276478934	-0.387372993408	-0.338198031956	-0.146066692912	-0.794557892798	-0.824944843615	-0.378113394742	-0.95628394601	0.374537037106	0.0760427689418	-0.0502052440465	-1.11315668148	-0.255509222835	-0.51289894381	-0.50675100063	-0.312490941536	-0.603231114443	-0.021952611805	-0.379565061715	-0.240723042837	0.277600938284	0.0187766185464	-0.24233739826	-0.19652044517	-0.250292652037	-0.452802715742	0.0436627085936	-0.777947860519	0.943372375379	0.0432264315237	-0.514564339461	0.0153618627575	-0.284897489155	-0.0489423281259	-0.209550497963	0.0986639854125	-0.579104639056	-0.127217085406	-0.179829481529	-0.411208823689	0.0224570531659	-0.471870626371	0.0512268650118	-0.230429927488	-0.601499127842	-0.383148288414	-0.355576510707	-0.308907372769	0.604637567474	0.0868503126069	-0.110354378134	-0.0348589973144	0.65519039416	0.257943478992	-0.179858931999	0.511792684024	0.286812492626	-0.164819391537	-0.477284727118	-0.526432585457	-0.284035443349	0.15728358774	-1.17018202639	-0.217437768268	0.0456514292375	-0.0660605350342	0.353375274991	-1.09402071421		-0.141758715955	-0.274427603373	0.320969448166	-0.321050400791	-0.90517098154	-0.114825684628	0.318325324679	0.0128290878486	-0.784096594472	-0.409316685742	-0.192487204619	0.0123193942797	-0.459294644109	-0.202743603155	0.0952402894747	0.297910330231	-0.56809860244	-0.853926410848	-0.577119129314	-0.271816080575	-0.199280305897	-0.0184220900759	-0.484522552319	0.119060391498	-0.596131536546	0.121943423772	-0.412139768903	-0.117573563668	-0.807318019591	-0.097157101943	0.085996109936	-0.721602492238	-0.294261907833	-0.573651977769	-0.134965355786	0.123942517704	-0.15748700706	-0.366587470826	-0.768395508943	-0.139670694455	-0.450389042602	-0.329030711286	-0.0925316693828	0.00722952087794	-0.169291315407	-0.52469984738	-0.0840993334244	-0.147279558139	0.0819726964856	0.416364986723	-0.662897064122	-0.704035898843	0.203958007935		-0.105821734943	0.214934793251	-1.34605898797	-0.0941817772252	-0.726776586189	-0.719702337782	-0.0170533698452	0.556205188477	-0.946983427873	-0.195854371743	0.154585678579	0.319062752913	-0.0876300566628	-0.394617168209	-0.540058220353	-0.516358748256	-0.269606914025	-0.794065199202	0.437754028839	-1.21437668002	0.164495700831	-0.392953284153	-0.527261744356	-0.127777712673
BALAGLITAZONE	0.707707323257	0.369167788089	0.169287098849	-0.181369318787	0.267469751051	-0.0361921324198	-0.25856662938	0.489315750541	-0.375772552418	-0.0171680392816	-0.0282932543573	0.157017439798	0.193326919333	0.0574170777741	0.353105688321	0.291603368929	0.115889460097	-0.421320215768	0.34613258636	1.04026193664	-0.543399848531	-0.477850732556	0.214478533696	-0.633113925234	0.0180101082995	0.478196026714	0.37197464088	-0.178468473051	-1.38837492464	0.15365759867	-0.377971450716	-0.145071089263	0.494522453721	0.373829690347	0.354126228831	1.02301764137	0.608361753078	-0.161089663422	0.628317994993	-0.550329867129	0.387099785221	0.328284923913	-0.120435329716	-0.0962061593157	0.107836758676	-0.370786045123	-0.346149232009	1.36116458992	-0.145357841861	-0.261021080621	0.0405309001259	0.450996950599	0.624610536737	0.0972629525032	-0.276437939341	-0.304870328676	0.290909952744	0.161849263464	0.195508689507	-0.0178718760889	0.77234945529	-0.010698905782	-0.137653568215	0.0341552635071	-0.349287161594	0.304051357295	0.0946280240326	0.517321057258	-0.138220575579	0.156159835742	0.431164979728	0.300588622501	0.335312036101	0.307014366089	0.31981358183		-0.0429182290396	-0.623830789083	-0.187406827179	-0.33591556955	0.0390547936946	-0.0541213975105	-0.0742177050962	0.00383918438281	0.895696315108	0.487002518826	0.107780891996	-0.129976891272	0.60537422416	0.37867389103	-0.0422690154674	0.484412688184		0.518614596201	-0.207167244925	-0.00265363554082	0.157351988967	0.402551987301	0.430982896436	0.377930348633	0.548055743251	0.359102011191	-0.286179175376	-0.0734781653841		-0.043824192542	-0.0451582083541	0.19145755816	-0.563200212513	-0.392502122001	0.234449476907	0.504955242369	0.0301399102258	0.389117333533		0.169287098849	0.0970645026501	-0.922273943308	0.374191338677	0.541261859219	0.0431678829365	-1.02261440647	0.397350113317	-1.10700709987	0.121528566433	-0.304852399732	-0.310433413315	-0.387915403769	0.461506950734		0.22699810354	0.31852775322	-1.23965305385	-0.0472290888823	0.0906805730792	-0.637998438044	-0.453665994754	-1.02952170951	0.0969236278587	-0.629189317565	0.650977456906	0.179915513209	0.134846915713	0.448863033136	0.323342924123	0.195350176469	0.431699761791	-0.206923276695	-0.549446297742	-0.0393332664204	0.187098748248	0.131181222533	0.1294861017	0.112179966738
FLUTRIMAZOLE	0.357244252091	0.266412019577	0.408545108852	-0.226794996813	0.157803699251	0.0452329934679	0.182821229292	0.311662780326	0.11972491516	-0.0723301948063	0.433375137522	0.0617306083632	-0.0756650480018	0.314119996633	0.219988980073	0.754029583197	0.0102580510393	-0.195793659915	-0.567035207052	-0.127121750437	0.287279475308	0.309236648918	0.62649841959	-0.350147326693	0.0520737533089	0.294054934236	0.936987417737	0.735216412157	0.279764759356	0.836818046644	-0.101599322186	0.60532426863	-0.831106935017	0.688017907698	0.373286113032	0.44904985785	0.621063369706	0.0765830680231	0.512707485898	0.0254522057389	0.295301814679	0.511512623323	0.33239144773	0.0696932672257	0.469954967699	-0.191662305499	-0.163927307444	0.984795577277	0.713617021478	0.403425690976	0.267879543089	0.171921665989	0.12477688252	-0.287367329592	-0.146843518515	0.285412390913	0.270182238238	-0.0158900285047	0.669768087262	-0.44151370447	-0.438501515469	0.47760054583	0.741156611649	0.741997948345	0.148820167074	-0.0699566009934	0.428315069913	0.654312829638	0.514814042126	-0.2248232441	-0.113298471204	0.069172675446	0.382346916868	0.546678363739	0.214201314783		0.19109426843	0.138205808621	0.702478412133	0.00649281864512	0.288026719201	-0.0799513938409	0.013087606669	0.447411108709	-0.0399565529385		0.691997973442	0.0278114991958	0.512378714434	0.696383187292	-0.233204484196	0.341180937555		0.471141019831	0.187424768985	-0.524489820161	-0.247888859346	0.0921834936211	-0.0904060468799	0.157210270011	0.422268897991	-0.382645588096	-0.309067055564	0.378619359309	0.681369849172	1.05762055463	-0.230259302226	0.741744851354	0.0161048077324	0.180786246663	0.307903922572	0.0836052446861	0.386968486966	0.841702043946		0.408545108852	0.000364077084012	0.681610836943	0.179597353911	-0.554783501454	0.564075543195	0.284911855007	-0.107193400013	0.200513755785	0.498598999876	0.0473652860666	0.249663765664	0.346684544147	0.402609943604		0.847198391286	-0.583721052341		0.25180022029	-0.253466234643	0.721233216499	0.717919257861	0.316751276697	0.242165093199	-0.189214763103	-0.22799334463	-0.554635246877	0.418083420048	0.245916627898	0.810011865812	0.242857627505	0.140189012181	0.733058764574	0.103247751197	0.0600358957996	0.547220623041	0.300530296446	0.273735857568	0.482721499706
KBG	0.128284467889	-0.191313644251	-0.326806068842	-0.636834987215	-0.27228599088	-0.497393869832	-0.218525383632	0.383999901242	-0.32667507911	-0.239112504871	-0.341879038133	-0.385129989361	-0.222108711955	-0.209571476563	0.41535946504	-0.0863138549168	-0.381314896594	-0.659396591214	-0.399954435694	-0.304968137406	0.0486825851885	-0.504879782505	0.125207950834	0.0206375024668	-0.155201263381	-0.0191519357005	-0.635686179782	-0.158986333934	0.249968566587	0.192064216695	-0.303513335969	-0.412787406429	-0.0526073873311	-0.23585966669	-0.635965622898	0.925602932001	0.43349632515	-0.0653531077495	-0.394754890512	-0.279372215525	-0.355053356025	-0.083098144807	-0.389447107375	-0.595733914003	-0.313857149914	-0.0504657034932	-0.242819743827	-0.440805345323	-0.0562188366832	-0.665976051997	0.297701388724	0.214022088526	0.159016033986	0.0924742695083	-0.336563656344	-0.308055383603	-0.549299019844	-0.0899521272807	-0.319944614836	0.179700984348	-0.732832070782	-0.279582172692	0.41107161642	0.151674372447	-0.45101698575	0.458633942879	-0.708496308077	-0.750123343425	0.0896868504589	-0.828601782992	-0.365793913967	-0.0307504970703	0.40398227643	0.397074271389	-0.155722558334		-0.588981835979	-0.317855301678	0.215636227577	-0.474835496813	-0.11963685738	-0.190777898274	-0.169109053849	-0.192857218267	-0.226933819925		-0.191560600308	-0.056307129519	-0.337138837189	0.0748344671788	0.0108557011746	-0.173145732547		-0.357434459859	-0.275872104004	-0.31877694292	-0.0487719816965	-0.0882288280934	-0.289779877964	-0.15875475263	-0.21698633121	0.0840779249492	-0.657658846726	0.442152580905	0.613076396316	-0.711844872182	-0.0561247115488	-0.252515980887	0.299629570431	-0.311614834378	-0.442144541597	-0.0369174502198	-1.15398834576	0.0439799122868		-0.326806068842	-0.407544847163	-0.0352017388969	-0.990742998748	-0.589704787164	-1.07233670319	0.629080109734	-0.515471365014	-0.574233834214	0.101712126873	-0.0128134877153	-0.167393507839	-0.619280645493	0.0327488008726		0.167350839094	0.26048140553		-0.272778226227	-0.109181772218	-0.547484743038	-0.9331211913	-0.426034724716	-0.0317074015112	0.114419665901	-0.506750578795	-0.41357212269	-0.218018137532	-0.259939400876	-0.625396509544	-0.610999081645	-0.00537402803676	-0.00627309306864	-0.724084420616	-0.412447065093	0.334048927912	-0.522938559166	0.14881277344	0.381598897725
OTENZEPAD	-0.191110535438	-0.479328511182	0.399372245828	0.0187420203827	0.207767889247	0.165702354719	0.287315219373	0.656662933807	0.201184739804	0.038839615954	0.186816018581	0.534144698815	-0.170978452044	0.746773064013	-0.0373047748872	0.490605359001	0.521024360711	0.227808861519	0.094982234271	0.469185359947	-0.145698596801	0.227663307885	-0.26228159822	0.0854607310956	0.00138271235097	0.459106998946	0.367906633542	0.220557496271	0.852443907648	0.341076650629	0.172725268685	-0.0935140686333	0.6355541526	0.228062725007	0.440126098349	-0.207677572656	0.105629860541	0.0190539532204	-0.0765527833575	0.391856611666	0.367010476678	0.214505963654	0.423717451229	0.147521917902	-0.32820345044	0.227293605343	0.425346453198	0.291898193676	0.238347740125	-0.0761837458597	0.419029753121	0.174997783901	-0.493479720843	0.128985181197	-0.344042635503	-0.248390972413	0.537605938624	0.177291493573	0.159941105387	0.147932093716	0.779200675494	0.302251809256	-0.220758070006	0.638167997751	0.340288250569	0.430661455575	0.808209794395	0.671472375276	0.710915277397	-1.00160220336	-0.316355084524	0.167353219247	0.56079102741	0.565010874301	0.246542885373		0.255063177436	-0.0263914249303	-0.0420656927208	0.102227662389	-0.193743940361	0.80802393616	0.395118714696	0.340718138024	0.0857768367018	0.0632064006857	0.486518861648	-0.0799682929703	0.751675029722	0.0317344283294	0.209466946911	0.279439836217		0.347286928664	-0.710850564769	0.106437542154	0.0629839985754	0.15879757025	-0.044128627421	0.695391614211	0.0818663863879	1.2767786345	0.257668289805	0.179910354192		0.268820435563	0.528791039761	-0.210089644631	0.73968417314	0.297103424128	0.332041325268	0.260476573481	0.288632986442	0.219802762342		0.399372245828	0.0574881349537	0.143105763413	0.35385343145	-0.163612135744	0.0191138446925	0.254245319796	0.0345803944843	0.238876088498	0.711981448391	0.191190015709	1.01549834102	0.646841535006	0.307566936249		0.80659102839	1.18935787629	0.209182723633	0.559219903104	0.119732339078	0.143976236245	0.562395452585	0.95252314044	0.845296235737	-0.446078153889	0.18229121863	0.0187763605295	0.354706530578	-0.209584113356	0.451289138936	0.35362850192	0.413195621155	0.848584004573	-0.0095342080355	0.544779433316	0.730750936423	0.054574780317	0.203614058361	-0.421802418419
BIPERIDEN	-0.347089845047	-0.566204728393	-0.0164779590208	0.641546722013	0.0044636851981	0.184749499157	0.533171082977	0.448291063791	0.451808953902	-0.0473759721996	0.359218656583	0.3007381581	-0.12997487899	0.451563021714	-0.0195595809292	-0.310899111288	0.214142243651	-0.292841457213	0.330415558036	0.107212247971	0.14366481968	-0.255813554213	-0.140291407649	0.425438507218	-0.304016887242	0.110302546122	0.354474136232	0.168307204454	0.953950179115	0.61846228861	-0.00529939771086	0.420497537413	0.110985324587	0.0846324214526	0.407112643654	0.0133031268289	0.640145588216	-0.00909394825583	-0.0325979544117	-0.0508253404672	0.510956486741	-0.0778534692542	0.727043734482	0.158207365546	0.268622868	0.458385342191	-0.0981073794478	-0.0745287806554	0.342474798937	0.308869790063	0.101437444753	0.435544831515	0.139078793286	0.251589217085	-0.983463273093	-0.224783148175	-0.0627873860193	0.170203433626	0.0484339833177	0.931474665369	0.426523013899	-0.0792598270287	0.377686902503	-0.344165161358	0.168257927653	0.185238337321	0.0108490142631	1.17901207921	0.270613587731	0.0498018588023	-0.433713044603	0.646328714789	0.317827450785	0.270944296096	0.319817554603		-0.0374276673217	0.19422194004	0.590132490547	0.523931233454	-0.256957915947	-0.0138893102545	0.743768700582	-0.0374376495974	-0.22512547519	-0.131349042714	0.448074439313	0.578825738912	0.0178898286435	0.22215104945	0.301920885917	-0.00202872252902		0.196237664796	0.379898177615	0.100370484705	0.0755263412203	0.40490211154	0.0754156612084	0.0115770459676	0.145335004787	0.0657783994344	-0.0253734957664	-0.511109494156		0.202033470728	0.159716502982	0.160353208671	0.14752705601	-0.0461049879721	0.437608265868	-0.384382262142	0.690594850068	0.461268575971		-0.0164779590208	0.238871312243	0.378212110912	-0.0971342711172	-0.792839721761	-0.0750991657148	0.344957718094	-0.327736485347	0.142266711778	0.0834177860836	0.410371150785	-0.235051011782	0.0106889647654	0.227861530093		0.269053653374	0.127524483032	0.935482570372	-0.16412512081	0.572346982135	-0.104105449145	0.0320525811639	-0.318021329364	0.316831094073	0.531399534837	0.0298030719728	0.307126474561	0.187627409215	0.485857235142	0.0552695338481	0.177155832738	0.361581059696	0.433744110968	0.216624191173	-0.377363951727	-0.493487278337	0.151517843207	-0.278465289582	-0.0553889531241
ZALTOPROFEN	-0.843135729842	0.0572419329252	-0.770579936171	1.04733795088	-0.191680154003	-0.433852821842	-0.470844387191	-0.811073209895	-0.533225032364	-0.643501166623	-0.558851143043	0.0907277701957	-0.672208342757	-0.168073639823	-0.392404317823	-0.251951111466	-0.294976370403	-0.418605062159	0.188103118455	-0.385955186497	0.911734697789	-1.36740291574	-0.423873519607	-0.255868829204	-0.49815622578	0.5128620279	0.0597974334845	0.113441429798	-0.864836460476	-0.449063610321	-0.396792326132	-1.19736015711	-0.788602349444	-0.534708483924	-0.81544278701	1.0137612472	0.174177312304	-0.431770147508	0.277813366609	-0.587276065555	-0.186475006562	-0.00497029384142	-0.743177060695	-0.840949841857	0.78541155348	-0.88556341013	-1.13199260927	0.136767400306	-0.372842538576	-0.308636553826	0.210450136893	-0.798628894616	-0.164851365341	-0.620387374912	-0.787129941513	-0.373488685135	-0.494388614627	0.00609012024014	-1.28898021093	-0.766592151857	-1.28850772809	-0.346466242796	0.0588791994755	-0.779607872856	0.0577419339427	-1.3342100601	-0.671695321818	-0.753220929021	-0.467974145192	-2.44090136846	-0.888766179947	-0.873703204045	-0.286158660854	0.235396095729	0.0751246724294		-0.549698849442	-0.252796611426	-0.962014632394	0.0385918674653	-0.218331263599	-0.211431256277	-0.271077241925	0.120618801419	0.165593384231	0.153128992563	0.63201069088	-0.125226447874	0.381101213924	-0.774196675875	0.428471341075	-0.691642420054	-0.77300875783	0.27941309266	-0.474418111802	-0.827282692419	-0.909067855134	-0.00265722344615	0.143374750512	-0.742683496576	-0.570841457708	-0.493920145275	0.123657691173	-0.45625709644	0.430807667565	-1.31811392118	-0.140594500056	-0.747933185589	-0.587642081549	-0.449442474775	-0.3251901329	-0.637896580518	-0.200998294867	-1.06445440726		-0.770579936171	0.117948436536	-0.952880910084	0.00456729172058	-0.463635249371	-1.48221670646	-1.95066294915	-0.349475833302	0.197267879405	-0.175066955063	-0.265778942351	0.222095998682	-0.939159620107	-0.555152713578	0.20517589933	0.450238529793	-0.407393649804	-0.690985405187	-0.847190361521	-0.651904691853	-0.42061285985	-0.860867041434	-0.555319981766	-1.22361367224	-0.465707502387	-0.21105660993	-0.626672404354	-0.541132010166	-0.500164104546	-1.51325642762	-0.374096015236	-0.687240196718	-0.919204330995	-0.556067409221	0.194222312134	-0.0860420039448	-0.0432357416522	-0.0392044937479	-0.0976998049988
NORETYNODREL	0.545109854161	-0.764406911285	-1.99887319528	-1.52441514542	-0.31037508284	-1.81211945995	-0.660970675437	-1.39772239982	-0.886280639775	-1.0451312214	-0.356355570646	-0.25461754817	-1.076542794	-1.15408092906	-1.38553178093	-2.05663384713	-1.33101811718	-1.77417101648		-0.109271441408	-0.585205123784	-0.0628858391492	-0.494251808847	-1.93660592024	-1.70747838016	-0.294119385622	-1.15898366541	-1.02707131823	-1.00107833047	-0.25858366053	-1.09978223557	-0.879766915369	-0.678210641861	-0.443007505039	-0.289835069508	-0.916934458749	-0.578184923823	-1.00350021575	-0.803377748547	-0.403875533645	-0.286254469392	-0.871074911911	-0.786097673203	-0.993656647365	-0.803121580031	-1.01179115284	-0.920897497322	-0.726540684789	-1.85467280078	-0.605886732211	-0.623299000162		-1.5928924253	-3.07178700644		-0.924923583063	-2.78159837577		-0.87217822979	-0.5837670417	-0.476132681762	-1.30018773111	-0.812959577691	0.15950394348	-1.15782082224	-2.06330504849	-0.570845555669	-1.1304717062	-1.1560926834	-1.74657672398	-1.08236588754	-0.792753437514	-0.931346588364	-2.07193035136	-1.18920913941		-0.849284008348	-1.45075345238	-1.39766715593	-0.941297855719	-0.906291987931	-1.38697207102	-0.419979807107	-0.838781551658	-0.492018733251	-0.448024835677	-0.557937818291	-0.974669936192	0.901693049456	-1.27007299642	-0.0068909394127	-0.550096616675	-1.6647562303	-0.539455640828	-0.485348455051	-2.17921554121	-0.353320578857	-0.924645757434		-0.0894397626946	-0.512119358249	-1.13096796531	-1.0475412269	-1.2706068919		-1.21171786854	-1.57227650612	-0.342532124725	-1.29457174734	-1.59123864962	-0.707312217416	-0.989114625434	-0.796405832683	-0.463164183356	-0.0736483757898	-1.99887319528	-1.21381001418	-1.77746346418	-1.06059691729	-0.928227840943	-1.20474384542	-0.531945067491	-0.256223604847	-0.888666538484	-0.620262636719		-0.563798804779	-1.21124131111	-1.65527972926		-0.906274408204	-2.04375196066		-1.15522012471	-0.61562117063	-1.20594072019	-0.767628308801	-0.921123119804	-0.86422815802	-0.43942207816	-1.25962674007	-0.405128415991	-1.574146876		-0.522133923723	-0.559331073508	-1.19444316186	-1.21608235457	-0.944505461145	-1.12864408483	-1.40961720394	-1.09421377607	-0.492915459007	-0.198703179441
DYPHYLLINE	0.187276929068	0.515714557744	0.182414534805	0.466950761367	0.11253689976	0.241349263709	-0.29007983543	-0.172060529381	-0.090564317321	0.408914544985	0.397925889388	0.236419204627	-0.0619750246241	0.537122535231	0.0976237151823	0.829009014161	0.0957467229336	-0.244303841369	0.352015322251	0.346547377173	0.559272683464	-0.0699950264895	-0.182899375672	0.0713579829163	0.675514155039	0.0167371212657	0.224926405365	0.174941904253	1.20215748228	0.597742682391	0.31014885007	-0.0652018831241	0.822509259482	0.219683131419	-0.113097115078	0.00231700731256	0.169207341688	0.25113312267	0.363996909603	0.351208555197	0.347081630066	0.553015999288	0.0440691613428	0.425599599878	0.307065992257	0.35733427479	0.147872327918	-0.469318894347	0.501852561425	0.140663527602	0.17723010999	0.194568587124	-0.0152999069276	-0.0869184272961	0.412195677846	1.00919721576	0.173439550341	0.309730662027	0.439034733969	0.244966331551	-0.27710476797	0.154685822261	0.822503827715	0.0430691578061	0.0458532610354	-0.239157543864	0.208233647244	1.15084722003	0.315187170536	0.0657205360523	0.0915518622958	0.312698718221	0.430471280302	0.3126547331	0.502177557121		0.239831143205	0.0760359731241	-0.0261093002406	-0.219397530902	-0.204693437392	0.516629635968	0.608302695992	0.579149559712	-0.189565194054	0.150560082891	-0.0856060687752	-0.155439185977	-0.0112612099288	0.165502947563	0.385637136368	0.194869386199	-0.347259831841	0.777771314487	0.759693371151	-0.0618203056892	0.379421538671	0.2348360665	0.437626467354	0.536089830275	0.452697706997	0.486583749518	0.694447682094	0.23577887597	-0.521569342882	0.16877059793	0.258086911188	0.0735828956993	0.510094772208	0.275764171201	-0.054961601288	0.0848758065829	0.115201186236	0.631235239914		0.182414534805	0.342394002958	-0.185627096193	0.506636646521	-0.152708075129	-0.0464707086453	0.51229979659	0.404867269297	0.28338504964	0.907191526969	0.427944393881	0.0462041252967	-0.00320591152285	0.324395520908		0.513121826381	0.114528536607		0.449539445805	-0.40709243497	0.0723543922275	-0.413682438226	0.163378322622	0.0827477753905	0.3634523954	-0.006308556486	-0.00198614713968	0.467621010709	-0.00627300814249	-0.0921894519115	0.19729313575	0.106998249275	0.282229846253	0.0351499733366	-0.0723782609625	0.326017211304	-0.0600181214854	0.146805332164	0.313635101787
